rosbagTimestamp,desiredRelPose,desiredAbsPose,currentRelPose,currentAbsPose,joint_state_left,joint_state_right,del_q,norm_error_abs,norm_error_rel,timeStamp,controlMode
1532095519411150000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815","1.0, 0.0, 0.0, 0.0, 1.512560630546295e-17, 0.0, 6.243954042556124e-25, 0.0","0.9999989874996026, 0.0, 0.0, 0.0, -1.0204224369666183e-15, 0.3696488938202397, -1.3877760017494728e-17, 0.09968120170253547","-1.1155875279896672, -0.8383205005793786, 0.432966077380658, 1.4066603824909245, -0.3497476196378743, 1.055762277262136, 0.2017184736069319","1.0331360606408262, -0.9246069198979331, -0.33555829734993425, 1.5067526289004476, 0.24850488763743703, 1.0914273305804718, -0.06979612584878632","-0.000675461663683145, 0.00033406102907486293, 0.000495183382902962, -0.00010601824947141195, 0.0006989886966822604, -0.00018944140779325857, -0.0008475070341737072, -0.0006663833482126369, -0.00023659422080419252, 0.0005575790012409184, 7.497611368545941e-05, 0.0006776516161109008, 0.00016552432786532054, -0.0007814899477538176",0.0028460511,1.24879080851E-024,1532095519.41,0
1532095521247160000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.36965000067949294, 0.0, 0.09968150067949295","1.0, 0.0, 0.0, 0.0, 1.4126414856453166e-06, 0.00043968613959211034, -0.0016375129727526163, 0.0009398609351202319","0.9999500361538213, -0.004621388326381159, 0.008406431813942601, 0.002424416531900371, 0.0014750639600572472, 0.3655629590543511, -0.0023683790205265482, 0.09665325450641973","-1.1205729655502947, -0.8241311782914386, 0.4291311254109445, 1.4124128104454947, -0.34898062924393164, 1.0511603348984797, 0.20210196880390327","1.037354507807511, -0.9111845880039358, -0.33670878294084833, 1.5167235040217029, 0.24313595487983808, 1.084907912231959, -0.07056311624272903","-0.005789765175268129, 0.01450161093550121, 0.004907099477444936, -0.01704922473574437, 0.0056459739557110965, 0.006202439705360139, -0.0013449865605221956, 0.003428268457517554, 0.012713225447368182, 0.00011428107461949901, -0.017847418274197585, 0.0024260272698882084, 0.008388070273461827, -0.002727651290371145",0.0234850651,0.0038771697,1532095521.25,0
1532095522106690000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3696917900085449, 0.0, 0.09972329000854492","1.0, 0.0, 0.0, 0.0, 2.6258565995985247e-05, -0.0012232227794377604, -0.0018084572271105132, 0.0008507299859642353","0.999820884688314, -0.007367718362153502, 0.01717246452092342, 0.0026466835495210605, 0.00247046306365522, 0.3615682801939624, -0.0031049811831066897, 0.09341232748151473","-1.1259418983078937, -0.8084078752156131, 0.4298981158048872, 1.4208497047788644, -0.3482136388499889, 1.0526943156863653, 0.20210196880390327","1.0385049933984252, -0.8935438089432535, -0.33670878294084833, 1.5205584559914165, 0.24236896448589537, 1.0814564554592168, -0.07017962104575767","-0.012349634545970309, 0.023532291058043633, 0.009051739462195155, -0.027958285718131425, 0.010866846086641107, 0.009502325719363238, -0.005350370508279565, 0.0027202257604396637, 0.021721295380564786, 0.0015322639181439557, -0.035282239057545156, 0.006209723512869126, 0.017779266422572916, -0.009365087037702622",0.0436764365,0.0046863773,1532095522.11,0
1532095522954900000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.36977655631303785, 0.0, 0.09980805631303787","1.0, 0.0, 0.0, 0.0, 1.1381306695712641e-05, 0.0003501976268317497, -0.0019974735156468595, 0.0031241032091332277","0.9997323712651399, -0.007342253276335023, 0.021806561496584727, 0.0019329260576345865, 0.002541496993361501, 0.3610727775320778, -0.0032397843113240706, 0.09359878159788403","-1.1267088887018364, -0.8045729232458995, 0.42951462060791584, 1.4150972768242942, -0.3482136388499889, 1.0526943156863653, 0.2001844928190465","1.0377380030044825, -0.8847234194129123, -0.33709227813781967, 1.5209419511883877, 0.24505343086469483, 1.0822234458531594, -0.07133010663667173","-0.017351641893994563, 0.026812974265389797, 0.010063307032739081, -0.030342444764807932, 0.01349298154298895, 0.009252384799986638, -0.008401210673796157, -0.0002985674952826722, 0.026291791260422734, 0.001035326049934106, -0.03902574031769405, 0.007458715823338895, 0.017145116918669916, -0.01224733168088999",0.0520394837,0.0074491771,1532095522.95,0
1532095523805320000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3699037211537361, 0.0, 0.09993522115373611","1.0, 0.0, 0.0, 0.0, 1.143799676681101e-06, 0.0016478938453884373, -0.0026502779755564624, 0.004414355140679976","0.9996882030973879, -0.00656861935468038, 0.023891021001616893, 0.00274908103815414, 0.0021958807353233377, 0.3614060301383019, -0.0033022803717246128, 0.09371765476914387","-1.1267088887018364, -0.7992039904883006, 0.4302816110018586, 1.403975916112125, -0.34783014365301756, 1.0569127628530501, 0.19903400722813244","1.0365875174135684, -0.877820505867428, -0.3347913069559916, 1.5167235040217029, 0.2469709068495516, 1.0837574266410448, -0.0724805922275858","-0.01929460342225641, 0.028744086328701093, 0.010353129824228768, -0.03186081627724052, 0.014326381970662225, 0.009580301706531368, -0.009222725081220892, -0.0008637476292561895, 0.028504535878368154, 0.00047010715398079284, -0.03961783347398485, 0.007600161233617587, 0.016122257281552213, -0.012364301467588653",0.0555482825,0.0108122262,1532095523.81,0
1532095524658970000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3700734178423881, 0.0, 0.10010491784238815","1.0, 0.0, 0.0, 0.0, 1.1704762507424357e-05, -0.0001359018911447074, -0.001662145797605593, 0.0032880579648413982","0.9997148310302095, -0.004589661373872414, 0.023371146953096535, -0.0009866929659002864, 0.0018214869404767913, 0.3625909734928218, -0.0027818198413204756, 0.09302123987108957","-1.1270923838988078, -0.7930680673367589, 0.42951462060791584, 1.398606983354526, -0.3485971340469603, 1.0592137340348782, 0.19711653124327566","1.02853411827717, -0.872451573109829, -0.33287383097113477, 1.5090536000822758, 0.2515728492132078, 1.0852914074289302, -0.0724805922275858","-0.018439017318352503, 0.02231920831400129, 0.009457949563641033, -0.025160038497923407, 0.013405266220604777, 0.007267787773122815, -0.010983833274523173, -0.004014061005369596, 0.022371936205671468, 0.002416592501416303, -0.03564134017450625, 0.008783460096513146, 0.016279140456099843, -0.014680470832070493",0.0519841501,0.0073736078,1532095524.66,0
1532095525511200000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.37028579741716383, 0.0, 0.10031729741716384","1.0, 0.0, 0.0, 0.0, -2.6672401053531684e-06, 0.0013200060367056787, -0.002514745174076679, 0.002901417191518693","0.9997116418511681, -0.003702222116945978, 0.023583804714258368, 0.002173673375520602, 0.0012279690300337185, 0.36300861888255553, -0.0036458427978043246, 0.0930712264092684","-1.127475879095779, -0.7880826297761313, 0.42951462060791584, 1.3882526130362995, -0.3459126676681608, 1.0618982004136777, 0.19404856966750483","1.0281506230801987, -0.870150601928001, -0.33133985018324935, 1.5044516577186196, 0.25233983960715056, 1.0879758738077296, -0.07746602978821339","-0.01733484801601808, 0.027921118318421378, 0.010255289037957702, -0.03075701805804252, 0.013336671710485012, 0.009574547798941431, -0.008242783093863611, -0.00015008570024226532, 0.025692061257211185, 0.0012262356566827778, -0.036648904640348375, 0.00751985711810156, 0.016483877122023725, -0.011496680780132135",0.0526588917,0.0081202416,1532095525.51,0
1532095526369440000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3705407876372337, 0.0, 0.10057228763723373","1.0, 0.0, 0.0, 0.0, 4.237470833474456e-06, 0.0004361973529183327, -0.0021154808899336653, 0.0018772949751161006","0.9997432502516407, -0.002445550246187097, 0.022422659900686908, 0.001635155785297713, 0.0008095938245076346, 0.3638161547355135, -0.0031753357262318416, 0.09267875251074363","-1.1267088887018364, -0.7850146682003605, 0.4298981158048872, 1.384417661066586, -0.3443786868802754, 1.066500142777334, 0.19059711289476267","1.0254661567013992, -0.8678496307461728, -0.32980586939536394, 1.498315734567078, 0.25464081078897866, 1.0895098545956152, -0.07784952498518474","-0.015601593347051704, 0.025035864707537717, 0.009898269415669318, -0.028540775366760338, 0.012309723589506792, 0.009337852167648918, -0.008074356866390986, -0.00039686638940084843, 0.02181018455329031, 0.002322624231396363, -0.03362610483636214, 0.007688909181246483, 0.016683392777329956, -0.011600431771182255",0.0493507613,0.0057235527,1532095526.37,0
1532095527228790000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.37083869080543513, 0.0, 0.10087019080543518","1.0, 0.0, 0.0, 0.0, 8.23674080926897e-06, 0.0005066396499502357, -0.002332111975522171, 0.002903425133331597","0.9997130284490513, -0.0013326946831755955, 0.023849554114501247, 0.0011338613840269475, 0.00045673280631723174, 0.3644616422905672, -0.0031653725909991394, 0.09225738020610899","-1.1278593742927505, -0.7796457354427615, 0.4302816110018586, 1.374830281142302, -0.34246121089541864, 1.0684176187621908, 0.18983012250081996","1.0208642143377429, -0.8586457460188603, -0.32597091742565043, 1.491029325824622, 0.2569417819708068, 1.090276844989558, -0.0782330201821561","-0.016346141121863843, 0.02469176251920991, 0.010152485450794023, -0.02869339960337975, 0.01254616471864123, 0.009898072095047086, -0.008991583778396386, -0.0011666074933507481, 0.021803008981135942, 0.002779891305247089, -0.033188231870680845, 0.008201300488198905, 0.016402984808552665, -0.012355531660381546",0.0515039207,0.00751673,1532095527.23,0
1532095528072910000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.3711795609951019, 0.0, 0.10121106099510192","1.0, 0.0, 0.0, 0.0, 6.119164059398621e-06, 0.00034119344504801585, -0.0020801420172084405, 0.001991756882140344","0.9996858184433498, 0.0004438047910889872, 0.024978261209176206, 0.0014688460357737568, -0.00021500323079638273, 0.3644430332399852, -0.003287285481105803, 0.09211638839986863","-1.127475879095779, -0.774660297882134, 0.4298981158048872, 1.3709953291725885, -0.34207771569844725, 1.0722525707319042, 0.18714565612202047","1.0174127575650007, -0.8548107940491468, -0.32482043183473636, 1.4868108786579373, 0.26039323874354897, 1.0933448065653286, -0.08245146734884098","0.004677697916853551, -0.019659928813729955, -0.004126834786868315, 0.001420313289419244, -0.002733193512491256, 0.003034123499584931, 0.0037158973334717594, -4.346689997337602e-06, -0.01734035503529331, 0.004839374412693224, 0.0018569297878722425, 0.002790212886922977, 0.0004335477142220561, 0.003438982396360455",0.0539170231,0.0058001722,1532095528.07,0
