rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1532095512515402643,,2,,1532095512,499207095,'',2,/record_1532095512423398176,Subscribing to /rosout,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros,211,['/rosout']
1532095512515428886,,3,,1532095512,508307036,'',2,/record_1532095512423398176,Subscribing to rosout,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros,211,['/rosout']
1532095512516006974,,4,,1532095512,515906474,'',2,/record_1532095512423398176,Recording to session1_2018-07-20-16-05-12.bag.,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,Recorder,394,['/rosout']
1532095512688645504,,1,,1532090142,115846227,'',2,/rviz_1532090141381104573,OpenGl version,/tmp/binarydeb/ros-indigo-rviz-1.11.19/src/rviz/ogre_helpers/render_system.cpp,RenderSystem,211,['/rosout']
1532095512689562103,,2,,1532094639,325230142,'',2,/camera/realsense2_camera,waitForService,/tmp/binarydeb/ros-kinetic-roscpp-1.12.13/src/libros/service.cpp,service,122,['/rosout']
1532095512689756383,,4,,1532094639,339282356,'',2,/camera/color_rectify_color,waitForService,/tmp/binarydeb/ros-kinetic-roscpp-1.12.13/src/libros/service.cpp,service,122,['/rosout']
1532095512690026610,,35,,1532094645,28679467,'',4,/camera/realsense2_camera_manager,Reconfigure callback failed with exception get_xu(id=11) failed! Last Error,/opt/ros/kinetic/include/dynamic_reconfigure/server.h,Server<ConfigType>,203,"['/rosout', '/tf_static', '/camera/realsense2_camera_manager/parameter_descriptions', '/camera/realsense2_camera_manager/parameter_updates', '/diagnostics', '/camera/depth/image_rect_raw/compressedDepth', '/camera/depth/image_rect_raw/compressedDepth/parameter_descriptions', '/camera/depth/image_rect_raw/compressedDepth/parameter_updates', '/camera/depth/image_rect_raw/compressed', '/camera/depth/image_rect_raw/compressed/parameter_descriptions', '/camera/depth/image_rect_raw/compressed/parameter_updates', '/camera/depth/image_rect_raw', '/camera/depth/image_rect_raw/theora', '/camera/depth/image_rect_raw/theora/parameter_descriptions', '/camera/depth/image_rect_raw/theora/parameter_updates', '/camera/depth/camera_info', '/camera/infra1/image_rect_raw/compressedDepth', '/camera/infra1/image_rect_raw/compressedDepth/parameter_descriptions', '/camera/infra1/image_rect_raw/compressedDepth/parameter_updates', '/camera/infra1/image_rect_raw/compressed', '/camera/infra1/image_rect_raw/compressed/parameter_descriptions', '/camera/infra1/image_rect_raw/compressed/parameter_updates', '/camera/infra1/image_rect_raw', '/camera/infra1/image_rect_raw/theora', '/camera/infra1/image_rect_raw/theora/parameter_descriptions', '/camera/infra1/image_rect_raw/theora/parameter_updates', '/camera/infra1/camera_info', '/camera/aligned_depth_to_infra1/image_raw/compressedDepth', '/camera/aligned_depth_to_infra1/image_raw/compressedDepth/parameter_descriptions', '/camera/aligned_depth_to_infra1/image_raw/compressedDepth/parameter_updates', '/camera/aligned_depth_to_infra1/image_raw/compressed', '/camera/aligned_depth_to_infra1/image_raw/compressed/parameter_descriptions', '/camera/aligned_depth_to_infra1/image_raw/compressed/parameter_updates', '/camera/aligned_depth_to_infra1/image_raw', '/camera/aligned_depth_to_infra1/image_raw/theora', '/camera/aligned_depth_to_infra1/image_raw/theora/parameter_descriptions', '/camera/aligned_depth_to_infra1/image_raw/theora/parameter_updates', '/camera/aligned_depth_to_infra1/camera_info', '/camera/infra2/image_rect_raw/compressedDepth', '/camera/infra2/image_rect_raw/compressedDepth/parameter_descriptions', '/camera/infra2/image_rect_raw/compressedDepth/parameter_updates', '/camera/infra2/image_rect_raw/compressed', '/camera/infra2/image_rect_raw/compressed/parameter_descriptions', '/camera/infra2/image_rect_raw/compressed/parameter_updates', '/camera/infra2/image_rect_raw', '/camera/infra2/image_rect_raw/theora', '/camera/infra2/image_rect_raw/theora/parameter_descriptions', '/camera/infra2/image_rect_raw/theora/parameter_updates', '/camera/infra2/camera_info', '/camera/aligned_depth_to_infra2/image_raw/compressedDepth', '/camera/aligned_depth_to_infra2/image_raw/compressedDepth/parameter_descriptions', '/camera/aligned_depth_to_infra2/image_raw/compressedDepth/parameter_updates', '/camera/aligned_depth_to_infra2/image_raw/compressed', '/camera/aligned_depth_to_infra2/image_raw/compressed/parameter_descriptions', '/camera/aligned_depth_to_infra2/image_raw/compressed/parameter_updates', '/camera/aligned_depth_to_infra2/image_raw', '/camera/aligned_depth_to_infra2/image_raw/theora', '/camera/aligned_depth_to_infra2/image_raw/theora/parameter_descriptions', '/camera/aligned_depth_to_infra2/image_raw/theora/parameter_updates', '/camera/aligned_depth_to_infra2/camera_info', '/camera/color/image_raw/compressedDepth', '/camera/color/image_raw/compressedDepth/parameter_descriptions', '/camera/color/image_raw/compressedDepth/parameter_updates', '/camera/color/image_raw/compressed', '/camera/color/image_raw/compressed/parameter_descriptions', '/camera/color/image_raw/compressed/parameter_updates', '/camera/color/image_raw', '/camera/color/image_raw/theora', '/camera/color/image_raw/theora/parameter_descriptions', '/camera/color/image_raw/theora/parameter_updates', '/camera/color/camera_info', '/camera/aligned_depth_to_color/image_raw/compressedDepth', '/camera/aligned_depth_to_color/image_raw/compressedDepth/parameter_descriptions', '/camera/aligned_depth_to_color/image_raw/compressedDepth/parameter_updates', '/camera/aligned_depth_to_color/image_raw/compressed', '/camera/aligned_depth_to_color/image_raw/compressed/parameter_descriptions', '/camera/aligned_depth_to_color/image_raw/compressed/parameter_updates', '/camera/aligned_depth_to_color/image_raw', '/camera/aligned_depth_to_color/image_raw/theora', '/camera/aligned_depth_to_color/image_raw/theora/parameter_descriptions', '/camera/aligned_depth_to_color/image_raw/theora/parameter_updates', '/camera/aligned_depth_to_color/camera_info', '/camera/extrinsics/depth_to_color', '/camera/extrinsics/depth_to_infra1', '/camera/extrinsics/depth_to_infra2']"
1532095512690531657,,3,,1532094639,329421361,'',2,/camera/points_xyzrgb_hw_registered,/camera/rgb/camera_info -> /camera/color/camera_info,/tmp/binarydeb/ros-kinetic-nodelet-1.9.14/src/nodelet.cpp,loadNodelet,202,['/rosout']
1532095512691445284,,29,,1532095490,373591438,'',2,/baxter_AbsRelative_Control,joint limit for left_w2,/home/rohit/catkin_ws/rohit_ws/src/dq_robotics/include/dq_robotics/baxter_dq.cpp,loadModel_baxter,226,"['/rosout', '/dq_robotics/results']"
1532095512691547976,,1,,1532094650,864087355,'',2,/baxter_4_powder_rviz,OpenGl version,/tmp/binarydeb/ros-kinetic-rviz-1.12.16/src/rviz/ogre_helpers/render_system.cpp,RenderSystem,211,['/rosout']
1532095512700121604,,0,,1532086231,664901080,'',2,/base_to_world,Spinning until killed publishing world to base,/var/tmp/portage/sci-ros/ros-indigo-tf2-ros-0.5.5.0/work/ros-indigo-tf2-ros-0.5.5.0/src/static_transform_broadcaster_program.cpp,main,63,"['/rosout', '/tf_static']"
1532095512700174714,,0,,1532086239,170892242,.USBService,2,/USBService,USB Service starting...,Server.cpp,USBService,69,[]
1532095512700192659,,2,,1532086235,932789151,'',4,/robot/environment_server,Got joint state update but did not update some joints for more than 1 second.  Turn on DEBUG for more info,/var/tmp/portage/sci-electronics/rethink-rsdk-1.2.0.57/work/rethink-rsdk-1.2.0.57/stacks/MotorControl/ArmCollisionTools/planning_environment/src/monitors/kinematic_model_state_monitor.cpp,KinematicModelStateMonitor,211,['/rosout']
1532095512700233669,,4,,1532093788,804410143,'',4,/collision/left/joint_collision_estimator_left,squish on joint left_e1 - 16.039 > 16.000,/var/tmp/portage/sci-electronics/rethink-rsdk-1.2.0.57/work/rethink-rsdk-1.2.0.57/stacks/MotorControl/ArmCollisionTools/JointCollisionEstimator.cpp,Collision,634,"['/rosout', '/collision/left/collision_detection', '/diagnostics', '/collision/left/debug']"
1532095512700726913,,0,,1532086231,664506549,'',2,/ref_base_to_world,Spinning until killed publishing world to reference/base,/var/tmp/portage/sci-ros/ros-indigo-tf2-ros-0.5.5.0/work/ros-indigo-tf2-ros-0.5.5.0/src/static_transform_broadcaster_program.cpp,main,63,"['/rosout', '/tf_static']"
1532095512700744270,,22,,1532086241,498330294,'',2,/robot_ref_publisher,URDFChange time,/var/tmp/portage/sci-electronics/rethink-rsdk-1.2.0.57/work/rethink-rsdk-1.2.0.57/stacks/MotorControl/RobotModel/RobotURDF.cpp,MotorControl,288,"['/rosout', '/tf']"
1532095512700812734,,27,,1532086241,511371072,'',2,/robot_state_publisher,Saving the URDF to the parameter server,/var/tmp/portage/sci-electronics/rethink-rsdk-1.2.0.57/work/rethink-rsdk-1.2.0.57/stacks/MotorControl/RobotModel/RobotURDF.cpp,MotorControl,138,"['/rosout', '/tf']"
