rosbagTimestamp,desiredRelPose,desiredAbsPose,currentRelPose,currentAbsPose,joint_state_left,joint_state_right,del_q,norm_error_abs,norm_error_rel,timeStamp,controlMode
1532096849762977082,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 7.777968381052034e-17, 0.0, -1.3877774389448687e-17, 1.3877787807814457e-17]","[0.9999989861579184, 0.0, 0.0, 0.0, -1.0337517213166092e-15, 0.3696488930548607, 6.938879834029081e-18, 0.09968120149613986]","[-1.1152040327926958, -0.8360195293975505, 0.43219908698671533, 1.406276887293953, -0.35204859081970247, 1.055762277262136, 0.20210196880390327]","[1.0331360606408262, -0.9261409006858186, -0.336325287743877, 1.507136124097419, 0.25349032519806464, 1.0914273305804718, -0.07363107781849985]","[-0.0006771260641757555, 0.0003345400129884062, 0.0004954182282473935, -0.00010526475638706575, 0.0007017609024779712, -0.0001860632288766994, -0.0008502908278576551, -0.0006651350287091696, -0.0002372780745357695, 0.000558086818739075, 7.689543412429408e-05, 0.0006759001319146901, 0.0001636479400331592, -0.0007808064108023863]",0.00284793615163,3.92522924907e-17,1532096849.76,0
1532096851572214737,"[0.9999999999999549, -3.0040740966796425e-07, -0.0, -0.0, 0.0, 0.0, -1.502037048339776e-10, -4.512230589170873e-17]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965000150203703, 0.0, 0.09968150150203706]","[1.0, 0.0, 0.0, 0.0, -2.4956264259930368e-06, 0.0012401182411930778, -0.0016128081168030118, 0.0023868769321113287]","[0.9999455395391242, -0.0031645619333813347, 0.009716359382308484, 0.00157166818089407, 0.0010170002908527832, 0.3654557433849275, -0.0014127682827046043, 0.09753292426763181]","[-1.1205729655502947, -0.8252816638823526, 0.4314320965927726, 1.4127963056424662, -0.3524320860166738, 1.0526943156863653, 0.20210196880390327]","[1.0377380030044825, -0.9119515783978784, -0.33709227813781967, 1.5197914655974736, 0.2515728492132078, 1.0845244170349875, -0.07439806821244256]","[-0.008634683547150131, 0.013031786660071334, 0.004378656289890528, -0.014973442360244258, 0.006435385803535793, 0.004687112234051592, -0.003965479092690461, 9.697824901877268e-05, 0.012779980099155987, -7.513564642743772e-05, -0.01722816318638174, 0.003003257914194038, 0.006393851183607823, -0.0048336330526854016]",0.0238997392909,0.00627255111369,1532096851.57,0
1532096852384449899,"[0.9999672898009015, -0.008088221574595487, -0.0, -0.0, 0.0, 0.0, -4.044022597319641e-06, -3.271002077108433e-08]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36969044305086135, 0.0, 0.09972194305086136]","[1.0, 0.0, 0.0, 0.0, 1.4831339560103865e-05, -0.001563765295051811, -0.002679485818528741, -0.0008900745011592853]","[0.9999200081606985, -0.00373850990431213, 0.011892337282310393, 0.0015967646188018616, 0.001232672744985035, 0.3636759403156188, -0.0021166897641058764, 0.09532046890856304]","[-1.1259418983078937, -0.8141603031701834, 0.43104860139580126, 1.419315723990979, -0.3524320860166738, 1.0523108204893938, 0.20210196880390327]","[1.0377380030044825, -0.9061991504433081, -0.337475773334791, 1.517106999218674, 0.2519563444101792, 1.0860583978228728, -0.07439806821244256]","[-0.00800914829838993, 0.015051374513110175, 0.005305449352169462, -0.016446725603904058, 0.007102525973781532, 0.0025395025242186792, -0.0036080410049353423, 0.0019056934518629433, 0.015664869436351953, 0.001940945664335851, -0.027967760404842217, 0.005594545944890623, 0.016681976782601683, -0.008290990670873348]",0.0297248865117,0.0174145024443,1532096852.38,0
1532096853194324721,"[0.9998686085287983, -0.01621004869470206, -0.0, -0.0, 0.0, 0.0, -8.10431436531631e-06, -1.313885938395945e-07]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36977149684429167, 0.0, 0.0998029968442917]","[1.0, 0.0, 0.0, 0.0, 2.0291948936375197e-05, -0.0017273461187287675, -0.0022516591245376086, -0.0010367207829128228]","[0.9998690011523457, -0.004989478332157291, 0.015276350004752685, 0.00130316466933573, 0.0017216070659221904, 0.3624889036726612, -0.00227249106036816, 0.09359090591658839]","[-1.126325393504865, -0.8049564184428709, 0.4302816110018586, 1.419315723990979, -0.35204859081970247, 1.0515438300954512, 0.2017184736069319]","[1.037354507807511, -0.8981457513069098, -0.33709227813781967, 1.5186409800065597, 0.2515728492132078, 1.0833739314440736, -0.07401457301547121]","[-0.008515571970569095, 0.017295554264906737, 0.0059542058453004865, -0.01940776688036311, 0.008017866535534133, 0.0019891781499370405, -0.0031589071853488438, 0.00020604149594755507, 0.01854418528442478, 0.003980295718903182, -0.034642166321232175, 0.008489351498084888, 0.022430369732752274, -0.013470842391933387]",0.0373951827088,0.0329775814506,1532096853.19,0
1532096854003129126,"[0.9997044920777141, -0.024309021363267107, -0.0, -0.0, 0.0, 0.0, -1.2152115966532673e-05, -2.9549336727035343e-07]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36989305392503735, 0.0, 0.0999245539250374]","[1.0, 0.0, 0.0, 0.0, 1.0890308782968323e-05, -0.00018514864817131826, -0.002673624525417747, 0.00044297795328133993]","[0.9998733507971562, -0.005201845108078583, 0.014807021693910537, 0.002226183739161394, 0.00172477480865614, 0.3632797928375553, -0.002939916851348715, 0.09374799341949375]","[-1.1267088887018364, -0.8030389424580141, 0.4306651061988299, 1.408577858475781, -0.3516650956227311, 1.0561457724591075, 0.19865051203116108]","[1.037354507807511, -0.8966117705190243, -0.337475773334791, 1.5182574848095882, 0.2519563444101792, 1.0814564554592168, -0.07631554419729933]","[-0.008909463394343802, 0.016613437235865235, 0.007439032781411357, -0.01819934400015044, 0.009017032265477799, -0.0010468708732926674, -0.006198851249251758, 0.004788483633349649, 0.020631911354627587, 0.0012706199603306654, -0.03565307606581072, 0.006833628993353538, 0.025753906085422603, -0.0076212982125253535]",0.0367074647936,0.0489227751128,1532096854.0,0
1532096854814004721,"[0.9994752265388286, -0.032392461085218247, -0.0, -0.0, 0.0, 0.0, -1.6190563415744034e-05, -5.247275584892874e-07]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.370055044567585, 0.0, 0.100086544567585]","[1.0, 0.0, 0.0, 0.0, 2.566212604083063e-05, -0.000554929926292913, -0.002980153046610329, 0.0009264520050952657]","[0.999858632979316, -0.005843152287235595, 0.015422868347580766, 0.0029480717995451293, 0.0019023071547177247, 0.3633581419873492, -0.0034682252202302526, 0.09314858214407863]","[-1.1270923838988078, -0.7980535048973865, 0.4306651061988299, 1.4024419353242394, -0.3516650956227311, 1.0622816956106491, 0.19750002644024703]","[1.0365875174135684, -0.890859342564454, -0.33670878294084833, 1.5132720472489607, 0.2515728492132078, 1.081839950656188, -0.07669903939427068]","[-0.016082829801720846, 0.020912484097749415, 0.0126609318045437, -0.02697428400377673, 0.016081768076210763, 0.011702138077943423, -0.01028384825107313, 0.011661964080732739, 0.016619502212204405, -0.003039154392868063, -0.028245631901685917, -0.0018897448681142277, 0.01619038624355076, 0.0006995637389912903]",0.0388705080912,0.0651028393031,1532096854.81,0
1532096855624189719,"[0.9991797755962962, -0.04049414821100764, -0.0, -0.0, 0.0, 0.0, -2.023599995081198e-05, -8.201122572933324e-07]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.37025757068395615, 0.0, 0.10028907068395616]","[1.0, 0.0, 0.0, 0.0, 2.4944734493270726e-05, -0.000630700982239496, -0.0023722660289591524, 0.0016687860576154318]","[0.9998388592157647, -0.003853286959964527, 0.017354673290914984, 0.0020520266853775015, 0.001258224731029098, 0.3635121843209275, -0.002789015273822912, 0.09312609341981913]","[-1.125174907913951, -0.7946020481246443, 0.4306651061988299, 1.3978399929605834, -0.3516650956227311, 1.0653496571864198, 0.19826701683418974]","[1.0323690702468835, -0.8835729338219983, -0.33402431656204884, 1.5090536000822758, 0.25617479157686407, 1.0829904362471021, -0.07861651537912745]","[-0.01973030815210746, 0.019669682372819602, 0.013883374357509349, -0.025563705933222308, 0.01867203138906908, 0.01100549738935244, -0.01422405618510375, 0.010350525016328846, 0.015949006683744903, -0.003645876125983636, -0.02842022470585917, -0.002554191749172748, 0.016132424699923917, -0.00045021428697771156]",0.0404622538958,0.0812255427534,1532096855.62,0
1532096856434619512,"[0.9988188719665084, -0.0485886921366656, -0.0, -0.0, 0.0, 0.0, -2.4275209464719452e-05, -1.1808954679761743e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.37050060983896255, 0.0, 0.10053210983896257]","[1.0, 0.0, 0.0, 0.0, 1.9090209689073215e-05, 0.0002163207232112052, -0.0023045277255559576, 0.0019125846363029914]","[0.9998346437982831, -0.00299501005030564, 0.0174569499044956, 0.0038679166316454615, 0.0007888773270089388, 0.3641803455768081, -0.0033157985179156344, 0.09303733166096641]","[-1.1236409271260657, -0.7907670961549308, 0.4302816110018586, 1.3901700890211561, -0.35204859081970247, 1.066500142777334, 0.19788352163721837]","[1.0293011086711126, -0.8793544866553135, -0.33133985018324935, 1.5033011721277054, 0.2569417819708068, 1.0845244170349875, -0.08245146734884098]","[-0.020026130313889532, 0.021764299600712966, 0.015298721616359623, -0.028164973092065903, 0.020080698227314148, 0.012817130399846518, -0.013910595704804752, 0.013819730683247468, 0.016574699960066403, -0.005316915545987673, -0.02739324017980004, -0.004986889425059403, 0.015683891377783154, 0.0029174173605335937]",0.0410596045756,0.0973990192396,1532096856.43,0
1532096857233594797,"[0.9983922350636384, -0.05668284541757404, -0.0, -0.0, 0.0, 0.0, -2.8311030484027165e-05, -1.607333979752006e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3707841760516167, 0.0, 0.10081567605161669]","[1.0, 0.0, 0.0, 0.0, 1.7596872621091636e-05, -0.00023644827339797114, -0.0016101048491963604, 0.0014904757995966855]","[0.9998238982259894, -0.0005741151925960294, 0.018459999246992445, 0.0030107322050178225, -2.7553028266017706e-05, 0.36442998615387756, -0.0023474952236175652, 0.09303641400248244]","[-1.1213399559442374, -0.7869321441852173, 0.4306651061988299, 1.3859516418544713, -0.35128160042575973, 1.071869075534933, 0.19711653124327566]","[1.0254661567013992, -0.8747525442916572, -0.3286553838044499, 1.4986992297640491, 0.26154372433446305, 1.0868253882168157, -0.0839854481367264]","[-0.02313201205729641, 0.01943398871901351, 0.016354470490586467, -0.025591443789019456, 0.022398080742106245, 0.011535004851116306, -0.017933850437150404, 0.012235892145466859, 0.013861816031584455, -0.005347945772911103, -0.026599093506460662, -0.005380388599483068, 0.016192476762361775, 0.0016337549955988493]",0.0415635618329,0.113510988892,1532096857.23,0
1532096858042135556,"[0.9979074952572009, -0.06465779852036127, -0.0, -0.0, 0.0, 0.0, -3.2283772009996325e-05, -2.0917746745269357e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.3711076907277107, 0.0, 0.10113919072771074]","[1.0, 0.0, 0.0, 0.0, 2.3695085403248502e-05, -0.0003183096715366762, -0.0023889866552798825, 0.0017105761050724838]","[0.9998302529248996, 0.002038016836326673, 0.0178619242222166, 0.003776111705951139, -0.0010568700600862542, 0.365145259792167, -0.0022889536971328938, 0.0935892837205707]","[-1.118655489565438, -0.7861651537912745, 0.42836413501700177, 1.380199213899901, -0.35281558121364515, 1.0760875227016178, 0.19750002644024703]","[1.022014699928657, -0.8720680779128577, -0.3252039270317077, 1.4925633066125075, 0.26537867630417655, 1.0891263593986438, -0.08705340971249723]","[-0.024574180119876783, 0.01882130653543167, 0.017149329548535718, -0.02466699980297306, 0.023806995904955094, 0.01156709137619197, -0.019669469895499517, 0.014171839886592286, 0.013260287093163833, -0.006583946571097525, -0.025338237845636248, -0.007324068334257285, 0.015603560765262403, 0.003892799573787952]",0.0405881300633,0.129538839538,1532096858.04,0
