rosbagTimestamp,desiredRelPose,desiredAbsPose,currentRelPose,currentAbsPose,joint_state_left,joint_state_right,del_q,norm_error_abs,norm_error_rel,timeStamp,controlMode
1532092408595619866,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 1.167945011258087e-16, 0.0, 1.3877774394074403e-17, 2.7755575615628914e-17]","[0.9999989864824641, 0.0, 0.0, 0.0, -1.0144447518074141e-15, 0.36964889341800766, -6.938879838533053e-18, 0.0996812015940677]","[-1.1159710231866384, -0.8364030245945219, 0.43258258218368667, 1.4058933920969816, -0.35319907641061654, 1.053461306080308, 0.20555342557664544]","[1.0339030510347689, -0.9261409006858186, -0.336325287743877, 1.5098205904762185, 0.25310683000109324, 1.0875923786107584, -0.07363107781849985]","[-0.0006782400139638806, 0.0003339211731431471, 0.0004976495602012769, -0.00010540334936601068, 0.000702301283250518, -0.00018662847809275448, -0.0008512264010826573, -0.0006660971027163192, -0.00023561345423015912, 0.0005593369007355003, 7.54258693876327e-05, 0.0006771987908765654, 0.00016365221828587974, -0.0007814339853436068]",0.00284748028185,6.20633418336e-17,1532092408.6,0
1532092410406991675,"[0.9999999999999611, -2.789497375488245e-07, -0.0, -0.0, 0.0, 0.0, -1.3947486877440864e-10, -3.8906478039279545e-17]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, -2.35795484281303e-06, 0.0006645325497540711, -0.00014082730149425138, 0.0011724629177022189]","[0.9999421404068666, -0.0037567234829522836, 0.009957366287774706, 0.0006544359461868269, 0.0013191645312575784, 0.36517907256396803, -0.0010617464613893993, 0.09681740625384246]","[-1.1205729655502947, -0.8225971975035531, 0.43258258218368667, 1.4143302864303515, -0.3524320860166738, 1.050393344504537, 0.20555342557664544]","[1.037354507807511, -0.9123350735948498, -0.337475773334791, 1.5236264175671872, 0.2500388684253224, 1.0803059698683026, -0.07363107781849985]","[-0.008412569958827724, 0.012275156581729304, 0.00471892011813117, -0.01462243463192767, 0.006680433913881479, 0.004461187851311637, -0.004336223199467075, -0.0014208373952006043, 0.010935493184193483, 0.0009500891326815649, -0.017621824597370713, 0.003949077306568053, 0.008000264244469684, -0.006858997322503849]",0.0243991195945,0.00271005916566,1532092410.41,0
1532092411207513951,"[0.9999671147014949, -0.008109840662268596, -0.0, -0.0, 0.0, 0.0, -4.0548314320802515e-06, -3.2885118263459696e-08]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 2.157964125690205e-05, -0.002278223322858486, -0.0013393940803999888, -0.001207527111075829]","[0.9999513668303324, -0.00451842714011574, 0.008584327819882519, 0.001065378874070929, 0.0015626060357013616, 0.3645427769214266, -0.001885101922360472, 0.09462574402962029]","[-1.1247914127169796, -0.8164612743520114, 0.4314320965927726, 1.4196992191879505, -0.35204859081970247, 1.0496263541105944, 0.2059369207736168]","[1.0377380030044825, -0.9088836168221076, -0.3378592685317624, 1.5197914655974736, 0.2500388684253224, 1.0780049986864746, -0.07363107781849985]","[-0.00321829004009001, 0.011183983448359774, 0.0038360941664807484, -0.015025301465339624, 0.0039034596435857274, 0.004978781415347019, 0.00016185797046120234, 0.0020928005546666907, 0.01071163398167854, 0.0029883367890428435, -0.022214667538355774, 0.00505329232266622, 0.014661778838509987, -0.007381040567524765]",0.0239653419978,0.0172281576352,1532092411.21,0
1532092412016924780,"[0.9998701159267555, -0.016116801066487104, -0.0, -0.0, 0.0, 0.0, -8.057702734129975e-06, -1.298812615261472e-07]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 1.9834023348414605e-05, -0.0016710888838147864, -0.0005387781002735216, -7.465528114364295e-05]","[0.9998650848668337, -0.005901989367865264, 0.015262757911820383, 8.267740139334371e-05, 0.002165275973628552, 0.3627107781206252, -0.0020977737815077698, 0.09372723616245399]","[-1.1259418983078937, -0.8084078752156131, 0.4314320965927726, 1.4208497047788644, -0.3524320860166738, 1.049242858913623, 0.20401944478876002]","[1.0365875174135684, -0.8981457513069098, -0.33824276372873374, 1.522475931976273, 0.2500388684253224, 1.0783884938834458, -0.07363107781849985]","[-0.007675580083790396, 0.017284568360668606, 0.005426516099777421, -0.020301679804383656, 0.006199797564041987, 0.00458005180967451, -0.0028136015476475425, -0.0031459188545663206, 0.01729698416397654, 0.004724447347746564, -0.03132836061935983, 0.009896168919337794, 0.017808329664602156, -0.014245229524937637]",0.0373120242102,0.0324255152745,1532092412.02,0
1532092412827067324,"[0.9997069237508742, -0.024208812539316747, -0.0, -0.0, 0.0, 0.0, -1.2102041052371797e-05, -2.930619326719735e-07]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 1.3652148598351354e-05, -0.0005194450596436306, -0.001557427459003115, 0.0009189616868248984]","[0.9998571188193391, -0.005609951916838036, 0.01584494234540642, 0.0010902445228958878, 0.0019718548242595125, 0.36290655966960145, -0.002421361901038445, 0.09418218051033378]","[-1.1267088887018364, -0.8061069040337849, 0.431815591789744, 1.4108788296576094, -0.3508981052287884, 1.0549952868681933, 0.20325245439481732]","[1.037354507807511, -0.8969952657159956, -0.337475773334791, 1.5220924367793018, 0.2504223636222938, 1.0787719890804173, -0.07439806821244256]","[-0.010332616200293637, 0.016569134192014313, 0.007269375744691513, -0.01723994715633574, 0.008301310925852214, -0.0014193977045915502, -0.008850501931855206, 0.0009920221551202673, 0.021050200069281953, 0.0014776216379059123, -0.0358836882340011, 0.00887051040584835, 0.02346136359008455, -0.00875819406191709]",0.038249190207,0.0485668440929,1532092412.83,0
1532092413637876060,"[0.9994779965773856, -0.03230687786920424, -0.0, -0.0, 0.0, 0.0, -1.614781662049751e-05, -5.21958003276891e-07]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 2.818732660496339e-05, -0.0012583434319972109, -0.0019093897134669965, 7.997890124937512e-05]","[0.9998605184816779, -0.006044669073646698, 0.015260631259643356, 0.002739123916903356, 0.0019900374873932543, 0.362998690671165, -0.0032895540111652225, 0.0929668477325546]","[-1.1278593742927505, -0.7995874856852719, 0.431815591789744, 1.4066603824909245, -0.35051461003181705, 1.0603642196257923, 0.19980099762207515]","[1.0365875174135684, -0.8923933233523395, -0.33709227813781967, 1.5167235040217029, 0.2504223636222938, 1.0783884938834458, -0.07708253459124204]","[-0.01585162614174713, 0.020467913953449077, 0.012669724841419185, -0.02534940024441298, 0.016248032075443883, 0.010375184602890464, -0.010364492556123702, 0.010883677225151954, 0.016508384205102516, -0.0030065495571211906, -0.02903789477989287, -0.001689133004976421, 0.01686731809413378, -0.00022542796808010333]",0.0384758692948,0.0647849322787,1532092413.64,0
1532092414435651117,"[0.9991832283844878, -0.04040886183936058, -0.0, -0.0, 0.0, 0.0, -2.01934266193134e-05, -8.166604113666182e-07]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 1.6048903103057024e-05, -0.0001483409006570735, -0.0010694740353618907, 0.002064262420178098]","[0.9998214984125104, -0.0059691319738396, 0.017761223363856757, 0.0019664690930547507, 0.0020416268409888362, 0.36342891982011455, -0.0031027792532500632, 0.09316288477215141]","[-1.1259418983078937, -0.7965195241095011, 0.431815591789744, 1.398606983354526, -0.35051461003181705, 1.0622816956106491, 0.19941750242510378]","[1.0342865462317403, -0.8847234194129123, -0.33670878294084833, 1.5132720472489607, 0.25233983960715056, 1.07953897947436, -0.07784952498518474]","[-0.020078908958360862, 0.021382541666021715, 0.014253748321091633, -0.02534243289382148, 0.01940998855192987, 0.01006070549974285, -0.0138404907819176, 0.009732995886591688, 0.018285376170724493, -0.00449577907611881, -0.029082977428539714, -0.0027858679631872513, 0.015358944073249137, -0.0008224766668985008]",0.041924277285,0.0809730687705,1532092414.44,0
1532092415245326841,"[0.9988290295317797, -0.04837943534812272, -0.0, -0.0, 0.0, 0.0, -2.417082740742821e-05, -1.1707418860427705e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 1.9515950641616105e-05, -0.000634760357362818, -0.0007504290161016256, 0.001515535228613002]","[0.9998507229294175, -0.0036771732078502563, 0.016620858991697973, 0.002597732263260424, 0.0011544577284525973, 0.36437179657880653, -0.0033668302615051616, 0.09297818259851369]","[-1.1244079175200083, -0.7926845721397876, 0.43104860139580126, 1.3917040698090417, -0.35128160042575973, 1.0661166475803625, 0.19941750242510378]","[1.0281506230801987, -0.8808884674431988, -0.33325732616810616, 1.5056021433095337, 0.25579129637989273, 1.0810729602622453, -0.08283496254581234]","[-0.018952858821350376, 0.02005969851338808, 0.014759509141173438, -0.02386547654840138, 0.019698761958181633, 0.010310778654436609, -0.013497887358906483, 0.012865727536743869, 0.016471100243688225, -0.005862653769609044, -0.026340485000350432, -0.005433539251386293, 0.014780846387870474, 0.002600246246909568]",0.0383782690648,0.0968634912764,1532092415.25,0
1532092416056018437,"[0.9984045896283752, -0.05646481567308662, -0.0, -0.0, 0.0, 0.0, -2.820236527143392e-05, -1.5949860138256299e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 7.253393273671475e-06, -0.0003409460085183058, -0.0005013884411349805, 0.0006090796534843901]","[0.9998165299739007, -0.000679449030360301, 0.019011388277340974, 0.0017330803654993542, 0.00012241860326960021, 0.3641277289776501, -0.001901348048058922, 0.09298896834510907]","[-1.1217234511412089, -0.7873156393821886, 0.4314320965927726, 1.3894030986272135, -0.3516650956227311, 1.0680341235652193, 0.19903400722813244]","[1.0254661567013992, -0.8770535154734853, -0.3294223741983926, 1.5044516577186196, 0.2607767339405203, 1.0833739314440736, -0.08321845774278369]","[-0.024894827294165124, 0.017989334123638585, 0.01597455575907357, -0.020310596152768954, 0.02338013491010039, 0.007340575379219172, -0.02002384678250485, 0.008759020823136274, 0.013349259751548059, -0.005493616633010383, -0.025921301473481, -0.00464419995642806, 0.015321146071348369, -0.00044114999726495817]",0.041371689386,0.113002391928,1532092416.06,0
1532092416865656727,"[0.9979140320762883, -0.06455683221197293, -0.0, -0.0, 0.0, 0.0, -3.2233500166191126e-05, -2.0852424106151084e-06]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815]","[1.0, 0.0, 0.0, 0.0, 1.6446686476672854e-05, -0.00029717300985715456, -0.0016461395569795092, 0.0012124130667417188]","[0.9998167491679033, 0.0014567439657682479, 0.01874076950183982, 0.003335275186275708, -0.0007990346515679324, 0.3646870974891912, -0.0023681198006037536, 0.09354936820834966]","[-1.1205729655502947, -0.786548648988246, 0.4291311254109445, 1.3817331946877864, -0.3508981052287884, 1.0726360659288756, 0.19941750242510378]","[1.0227816903225997, -0.8732185635037718, -0.3267379078195931, 1.4975487441731352, 0.26422819071326253, 1.0860583978228728, -0.08743690490946858]","[-0.026443679300466212, 0.019565270789811757, 0.016900157822916394, -0.02045787582324484, 0.02495577527386936, 0.007540617137386506, -0.020918015382291252, 0.012200770132831995, 0.01592674916585239, -0.007918522280178992, -0.02666992538880382, -0.007356246241758517, 0.014694310220719922, 0.002999286880527875]",0.0412244739822,0.129268187167,1532092416.87,0
