rosbagTimestamp,desiredRelPose,desiredAbsPose,currentRelPose,currentAbsPose,joint_state_left,joint_state_right,del_q,norm_error_abs,norm_error_rel,timeStamp,timeStampNew,controlMode
1532096662470410000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815","1.0, 0.0, 0.0, 0.0, 1.2833114942441636e-17, 1.1102230246251565e-16, 0.0, 2.7755575615628914e-17","0.9999990080398143, 0.0, 0.0, 0.0, -1.0537537966859385e-15, 0.36964891711897374, 0.0, 0.09968120798537801","-1.1044661672774978, -0.8015049616701286, 0.4333495725776294, 1.3537380453088776, -0.3501311148348457, 1.0826069410501307, 0.2009514832129892","1.0093593584286022, -0.8916263329583968, -0.317917518289252, 1.466869128415427, 0.2768835322133172, 1.103315681686584, -0.09203884727312482","-0.0006464703580689182, 0.0003477542427300497, 0.0004911585989710754, -0.0001338424504274146, 0.000666040016018801, -0.00015403215754067004, -0.0008092785095663738, -0.0006323846432215443, -0.00024180996188658452, 0.0005435116304050347, 9.502862120616284e-05, 0.0006424113275285909, 0.0001594194920771852, -0.0007339237314499335",0.0028170348,2.28878339926E-016,1532096662.47,0,0
1532096664281300000,"0.9999999999999785, -2.0742416381835792e-07, -0.0, -0.0, 0.0, 0.0, -1.0371208190917747e-10, -2.1512391867872646e-17","1.0, 0.0, 0.0, 0.0, 0.0, 0.3696500010371208, 0.0, 0.09968150103712083","1.0, 0.0, 0.0, 0.0, -2.4663246252134424e-06, 0.0015137295581174603, -0.0021140444885652553, 0.004182082212265181","0.9999003308770219, -0.00437470132950873, 0.01324096420960533, 0.0016990915773045208, 0.0014547979065253458, 0.36446600246976374, -0.00196038035219113, 0.09754290219818976","-1.1094516048381255, -0.7903836009579595, 0.42951462060791584, 1.3621749396422473, -0.35051461003181705, 1.0787719890804173, 0.20056798801601786","1.0143447959892298, -0.871301087518915, -0.3186845086831947, 1.479907965112453, 0.273432075440575, 1.0967962633380708, -0.09203884727312482","-0.011478431519665652, 0.01678047644505715, 0.005132739058488861, -0.01858669445562135, 0.007956870833913799, 0.0055805279290845975, -0.004825231537780217, -0.00019430524271520718, 0.018577266924865266, -0.0008434095203149518, -0.02381979640430967, 0.0036267151058843386, 0.0076850635550402766, -0.00643288468426236",0.0321223765,0.0098489334,1532096664.28,1.8099999428,0
1532096665089630000,"0.9999671399872924, -0.008106722249767813, -0.0, -0.0, 0.0, 0.0, -4.053272328343166e-06, -3.2859832743069245e-08","1.0, 0.0, 0.0, 0.0, 0.0, 0.36969053509235383, 0.0, 0.09972203509235383","1.0, 0.0, 0.0, 0.0, 3.132206654036813e-05, -0.002328903451349673, -0.0026929047847199443, -0.0006197649764837498","0.9998797325161976, -0.00579473325053499, 0.014255536976617002, 0.0013213386727772727, 0.0020182645390429367, 0.36268995421788164, -0.002758564755562039, 0.09308329068427061","-1.1159710231866384, -0.7715923363063631, 0.42951462060791584, 1.3690778531877317, -0.35051461003181705, 1.0760875227016178, 0.20056798801601786","1.0139613007922585, -0.8624806979885739, -0.31945149907713744, 1.4772234987336534, 0.27381557063754636, 1.0929613113683574, -0.09203884727312482","-0.007560181641478869, 0.017704345337676446, 0.006408591179951524, -0.022268017811026285, 0.0069478711584528485, 0.006532079713702335, -0.002678115017506727, 0.0032322332933045934, 0.017467816174533884, 0.003054076214956732, -0.03276359837297013, 0.00676612711623362, 0.020198461871065193, -0.009371444043249678",0.036177124,0.0177491553,1532096665.09,2.6199998856,0
1532096665902150000,"0.9998689631916081, -0.016188157589381795, -0.0, -0.0, 0.0, 0.0, -8.09337168539198e-06, -1.3103394654271187e-07","1.0, 0.0, 0.0, 0.0, 0.0, 0.36977147941589356, 0.0, 0.09980297941589357","1.0, 0.0, 0.0, 0.0, 2.1003152643372675e-05, -0.0006905792914342901, -0.002941175222300575, 0.0014470505120762756","0.9998212277285035, -0.006216435503832517, 0.01769323713373879, 0.0019604733454274903, 0.0021210047482132168, 0.3621175813191494, -0.002987806172519368, 0.09350750993088974","-1.1152040327926958, -0.7685243747305923, 0.42951462060791584, 1.3617914444452761, -0.35051461003181705, 1.0810729602622453, 0.19980099762207515","1.0143447959892298, -0.8574952604279463, -0.3186845086831947, 1.4787574795215388, 0.273432075440575, 1.0933448065653286, -0.09242234247009617","-0.011761095213139679, 0.020710122665668466, 0.008212702287586315, -0.023797839464318866, 0.009394103231113877, 0.0037720931128303187, -0.00752692571951377, 0.0030484068488571144, 0.023528779955062938, 0.001373871032050943, -0.03916237527924813, 0.007918716985083576, 0.0233688697105497, -0.00897306297636154",0.0430763074,0.033060789,1532096665.9,3.4300000668,0
1532096666700560000,"0.9997043767315876, -0.024313764490671488, -0.0, -0.0, 0.0, 0.0, -1.21544861279842e-05, -2.956087020316072e-07","1.0, 0.0, 0.0, 0.0, 0.0, 0.36989306021928786, 0.0, 0.09992456021928789","1.0, 0.0, 0.0, 0.0, 1.6392055439023653e-05, 0.0003514945780335732, -0.004103634725739819, 0.002129933785526325","0.9997958890172031, -0.005895026870290105, 0.019023825344041213, 0.0030901076457456682, 0.001919059903700881, 0.3619842501437427, -0.0039217139753826855, 0.09379759984616472","-1.1167380135805811, -0.7646894227608787, 0.42874763021397316, 1.3533545501119062, -0.3508981052287884, 1.0852914074289302, 0.19826701683418974","1.0143447959892298, -0.8551942892461182, -0.31906800388016604, 1.4783739843245676, 0.27458256103148904, 1.0944952921562427, -0.095490304045867","-0.013600715554823624, 0.023140041808412705, 0.009652837546631156, -0.025099271099796355, 0.011205202451454361, 0.0018636413780826668, -0.009569588418434565, 0.00648833738962693, 0.02794463822053652, -0.0007477838419510904, -0.043666136310237, 0.006946272306392022, 0.026627216127671147, -0.005937872639183595",0.0462957522,0.0495046928,1532096666.7,4.2300000191,0
1532096667509650000,"0.999478436993877, -0.03229324982526207, -0.0, -0.0, 0.0, 0.0, -1.6141009712504283e-05, -5.215176633981505e-07","1.0, 0.0, 0.0, 0.0, 0.0, 0.3700545545458794, 0.0, 0.10008605454587938","1.0, 0.0, 0.0, 0.0, 3.51852699448903e-05, 0.00020895364668194194, -0.00397082962681861, 0.0037060326746828354","0.9998058639407295, -0.006420792107513281, 0.018371178947507043, 0.0027458068131513995, 0.00215860912793738, 0.3632160833714943, -0.004456894282750931, 0.09316871768178914","-1.117505003974524, -0.7600874803972225, 0.42951462060791584, 1.3410827038088229, -0.35051461003181705, 1.0906603401865291, 0.19750002644024703","1.0108933392164876, -0.847524385306691, -0.3175340230922806, 1.470320585188169, 0.27458256103148904, 1.0933448065653286, -0.095490304045867","-0.01766516386878366, 0.02482913114874391, 0.013160982724876064, -0.031154882305445795, 0.016391817868759588, 0.013690527034252222, -0.00970619415280859, 0.012184834056650853, 0.022672124186907644, -0.004072491835961889, -0.03294683128323822, -0.0017308030762718477, 0.01597110029922444, 3.530790786335225e-05",0.0447101876,0.0655027654,1532096667.51,5.0399999619,0
1532096668319010000,"0.9991844678386582, -0.04037820241141686, -0.0, -0.0, 0.0, 0.0, -2.017812194512113e-05, -8.154212944730392e-07","1.0, 0.0, 0.0, 0.0, 0.0, 0.3702565004587174, 0.0, 0.10028800045871736","1.0, 0.0, 0.0, 0.0, 2.5526088675390055e-05, -2.3400273615303835e-05, -0.0026315192466379858, 0.002763117756262798","0.9998186459034532, -0.00375592646885891, 0.018428198600549364, 0.0026463631655441393, 0.0011816860486439126, 0.3637543156793154, -0.003372166166496714, 0.09329999314810984","-1.113286556807839, -0.7577865092153944, 0.4302816110018586, 1.3395487230209375, -0.35128160042575973, 1.0937283017623, 0.19711653124327566","1.0070583872467742, -0.8448399189278917, -0.3148495567134812, 1.4649516524305701, 0.27880100819817394, 1.0964127681410996, -0.09817477042466648","-0.019473194874634312, 0.022373053174853778, 0.013935658417089384, -0.02818706987166259, 0.018113564426489447, 0.012314413649494236, -0.012498520424702262, 0.01099747055719613, 0.01922047905182098, -0.004408664530914439, -0.030680584404554463, -0.0026792379736345134, 0.01594167057289017, -0.0004336098443854918",0.0426011661,0.0811358771,1532096668.32,5.8499999046,0
1532096669129150000,"0.9988249406615147, -0.048463779387513214, -0.0, -0.0, 0.0, 0.0, -2.4212900393537426e-05, -1.1748291569762595e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.3704989143133164, 0.0, 0.10053041431331636","1.0, 0.0, 0.0, 0.0, 2.1716380813308588e-05, 0.0010893901812564777, -0.002877134331465382, 0.003208915597225123","0.9997929932148495, -0.0020941490150306564, 0.019739471035755022, 0.004239694640077553, 0.00043370249883056133, 0.364226356230737, -0.0034118655753227443, 0.09351616119501927","-1.1106020904290395, -0.7531845668517382, 0.4291311254109445, 1.3299613430966537, -0.3508981052287884, 1.0952622825501854, 0.19788352163721837","1.004757416064946, -0.8390874909733214, -0.31178159513771037, 1.4588157292790285, 0.2811019793800021, 1.0994807297168703, -0.1012427320004373","-0.02200666559121013, 0.024732761854101188, 0.015421966760203326, -0.03017992824403762, 0.020381256545945674, 0.013069433037025843, -0.014076922916466757, 0.012460214240327158, 0.02051808512165819, -0.005950425926011383, -0.030794649250272386, -0.004299872376851092, 0.015471224259846877, 0.00117313776385055",0.0450787476,0.0973700918,1532096669.13,6.6600000858,0
1532096669940070000,"0.9983995300089131, -0.05655420831362835, -0.0, -0.0, 0.0, 0.0, -2.8246918557166517e-05, -1.6000429370052168e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.37078183630704886, 0.0, 0.1008133363070488","1.0, 0.0, 0.0, 0.0, 2.50759732269663e-05, -0.000631775170260862, -0.0021196474897238952, 0.0018861073246086296","0.9998072791259897, 1.5585204778525335e-05, 0.019416982140041658, 0.002534612260202947, -0.00018130869857316032, 0.36454983664788204, -0.0030815604400674, 0.09288473052463453","-1.1098351000350968, -0.7481991292911105, 0.42798063982003043, 1.3276603719148257, -0.3508981052287884, 1.0998642249138417, 0.19711653124327566","0.9986214929134043, -0.8352525390036077, -0.3094806239558822, 1.4534467965214295, 0.2849369313497156, 1.1006312153077844, -0.10316020798529407","-0.022556757643262097, 0.021222358313734185, 0.016373398586423372, -0.027185568436703684, 0.021544881267715928, 0.01248831968521947, -0.016447668998785844, 0.012917080040757097, 0.016439138270958123, -0.005681373302536156, -0.029553015641276166, -0.0051875614972706095, 0.01704865900804342, 0.0012314149949023776",0.0432677769,0.1133162759,1532096669.94,7.4700000286,0
1532096670739540000,"0.9979081355731333, -0.06464791533338847, -0.0, -0.0, 0.0, 0.0, -3.227885113008472e-05, -2.091134805428025e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.37110530146360404, 0.0, 0.10113680146360399","1.0, 0.0, 0.0, 0.0, 2.1032950321305628e-05, -4.969234170171255e-05, -0.0025690092675536274, 0.0016577000626016025","0.9998109580243648, 0.0024463425971127687, 0.018888872628464927, 0.003649074044756481, -0.0011776238240807752, 0.3655302753993207, -0.002994940871951758, 0.09310854561858332","-1.1071506336562973, -0.7447476725183684, 0.426446659032145, 1.3188399823844845, -0.35128160042575973, 1.1017817008986983, 0.19673303604630432","0.9959370265346049, -0.8318010822308656, -0.30679615757708273, 1.4465438829759452, 0.28877188331942916, 1.103315681686584, -0.10661166475803625","-0.023465193330257296, 0.02149794402002864, 0.017431402420801125, -0.027505715446839437, 0.022806042115121994, 0.013153535095501, -0.017528781300246935, 0.01495680518410517, 0.01497082565771633, -0.006739149736417455, -0.02677364016642067, -0.0071331184646211045, 0.01614335737558496, 0.0037642527196375154",0.0424694747,0.1295283965,1532096670.74,8.2699999809,0
