time,x_current,y_current,z_current,qw_current,qx_current,qy_current,qz_current,x_desired,y_desired,z_desired,qw_desired,qx_desired,qy_desired,qz_desired,x_curr_transVel,y_curr_transVel,z_curr_transVel,x_curr_rotVel,y_curr_rotVel,z_curr_rotVel,x_des_transVel,y_des_transVel,z_des_transVel,x_des_rotVel,y_des_rotVel,z_des_rotVel,normError,controllerMode,timeKDLJacDot,timeDQJacDot, 
0.00235872,0.155389,-1.01551,0.255761,-0.0607312,-0.0355167,0.992667,-0.0982896,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15045e-18,-0.0183893,-0.00788861,0.00702863,-0.00138831,-0.00334164,0.0183577,-0,0,0,0,0,0,0.497302,0,0,0.00156875, 
0.00595221,0.155589,-1.01566,0.256293,-0.0600795,-0.0353078,0.992685,-0.0985896,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15045e-18,-0.00887789,-0.00952323,-0.00353352,0.00869221,0.000417971,-0.00142505,-8.09146e-21,0,6.60718e-05,2.52483e-05,7.81022e-06,3.09203e-21,0.498104,0,0,0.00145612, 
0.0109918,0.155589,-1.01566,0.256293,-0.0600795,-0.0353078,0.992685,-0.0985896,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15046e-18,-0.00887789,-0.00952323,-0.00353352,0.00869221,0.000417971,-0.00142505,-1.82909e-20,0,0.000149356,5.70742e-05,1.76551e-05,6.98957e-21,0.498105,0,0,0.0014629, 
0.0159986,0.155567,-1.01578,0.256079,-0.060209,-0.0357274,0.992643,-0.0987732,0.268209,-0.882134,0.15,6.05448e-17,-0.149439,0.988771,-9.15049e-18,0.0189516,-0.0153813,-0.000928276,0.0101801,0.00195793,-0.0159687,-3.29733e-20,0,0.000269247,0.000102889,3.18274e-05,1.26002e-20,0.497938,0,0,0.00146328, 
0.0210067,0.155567,-1.01578,0.256079,-0.060209,-0.0357274,0.992643,-0.0987732,0.268209,-0.882134,0.15,6.05448e-17,-0.14944,0.988771,-9.15054e-18,0.0189516,-0.0153813,-0.000928276,0.0101801,0.00195793,-0.0159687,-4.73054e-20,0,0.000386278,0.00014761,4.56616e-05,1.8077e-20,0.497939,0,0,0.00148341, 
0.0259996,0.155601,-1.01522,0.255112,-0.0599009,-0.0352152,0.992796,-0.0976068,0.26821,-0.882134,0.15,6.05447e-17,-0.149441,0.988771,-9.15061e-18,0.0466952,-0.00370253,-0.0096211,-0.00456008,0.00896996,-0.0156697,-6.17969e-20,0,0.00050461,0.000192829,5.965e-05,2.36147e-20,0.495937,0,0,0.00147465, 
0.031167,0.155601,-1.01522,0.255112,-0.0599009,-0.0352152,0.992796,-0.0976068,0.268211,-0.882134,0.15,6.05447e-17,-0.149442,0.98877,-9.1507e-18,0.0466952,-0.00370253,-0.0096211,-0.00456008,0.00896996,-0.0156697,-7.61647e-20,0,0.000621932,0.000237661,7.35193e-05,2.91051e-20,0.495939,0,0,0.00156479, 
0.0360796,0.156051,-1.01464,0.252646,-0.0595331,-0.0357123,0.992911,-0.096468,0.268213,-0.882133,0.15,6.05447e-17,-0.149444,0.98877,-9.1508e-18,0.214199,-0.0528894,0.013985,0.0294847,0.0521258,-0.116283,-9.10503e-20,0,0.000743482,0.000284109,8.78889e-05,3.47933e-20,0.492645,0,0,0.0015254, 
0.0410108,0.156051,-1.01464,0.252646,-0.0595331,-0.0357123,0.992911,-0.096468,0.268214,-0.882133,0.15,6.05447e-17,-0.149446,0.98877,-9.15092e-18,0.214199,-0.0528894,0.013985,0.0294847,0.0521258,-0.116283,-1.05101e-19,0,0.000858212,0.000327951,0.000101453,4.01624e-20,0.492648,0,0,0.00150174, 
0.0459908,0.157228,-1.01401,0.250889,-0.0596802,-0.0364729,0.992855,-0.0966774,0.268216,-0.882132,0.15,6.05447e-17,-0.149448,0.98877,-9.15106e-18,0.169994,-0.0204073,0.131064,0.0648583,0.0626958,-0.189432,-1.19272e-19,0,0.000973932,0.000372171,0.000115134,4.55778e-20,0.492308,0,0,0.00148321, 
