time,x_current,y_current,z_current,qw_current,qx_current,qy_current,qz_current,x_desired,y_desired,z_desired,qw_desired,qx_desired,qy_desired,qz_desired,x_curr_transVel,y_curr_transVel,z_curr_transVel,x_curr_rotVel,y_curr_rotVel,z_curr_rotVel,x_des_transVel,y_des_transVel,z_des_transVel,x_des_rotVel,y_des_rotVel,z_des_rotVel,normError,controllerMode,timeKDLJacDot,timeDQJacDot, 
0.0489051,0.698171,-0.238064,0.222243,-0.0287237,0.041257,0.99868,0.0104524,0.600002,-0.45,0.2,6.12323e-17,-8.09224e-06,1,4.95507e-22,0.0664388,0.0556971,0.351178,-0.0523559,-0.0286103,-0.000376317,0,0,0.000872123,0.000130818,2.11723e-09,0,0.403358,0,0,0.00536486, 
0.0564128,0.694131,-0.242856,0.222018,-0.028388,0.0389028,0.998823,0.00559857,0.600004,-0.45,0.2,6.12323e-17,-1.40618e-05,1,8.61037e-22,-1.37303,0.271738,0.369066,-0.450078,-0.607598,0.0524193,0,0,0.00114919,0.000172379,4.84791e-09,0,0.385706,0,0,0.00326739, 
0.0668795,0.692136,-0.245683,0.222408,-0.0291722,0.0382388,0.99884,0.00227278,0.600006,-0.45,0.2,6.12323e-17,-1.87059e-05,1,1.14541e-21,-1.7899,0.5596,0.389021,-0.527701,-0.765185,0.125241,0,0,0.00132511,0.000198767,7.43624e-09,0,0.379182,0,0,0.00486202, 
0.076364,0.689849,-0.249125,0.223087,-0.0304435,0.0375564,0.998828,-0.00185955,0.600008,-0.45,0.199999,6.12323e-17,-2.6282e-05,1,1.60931e-21,-2.13961,0.779512,0.407029,-0.59526,-0.912755,0.195379,0,0,0.00157014,0.000235522,1.238e-08,0,0.372784,0,0,0.00410909, 
0.0824015,0.685374,-0.256294,0.224841,-0.0331602,0.0363406,0.998733,-0.010497,0.60001,-0.45,0.199999,6.12323e-17,-3.42541e-05,1,2.09746e-21,-2.7783,0.956092,0.453324,-0.669027,-1.08064,0.282904,0,0,0.00179196,0.000268794,1.84146e-08,0,0.362753,0,0,0.00287825, 
0.0881363,0.682604,-0.260831,0.226098,-0.0349304,0.0355322,0.998622,-0.0164594,0.600012,-0.45,0.199999,6.12323e-17,-3.98765e-05,1,2.44173e-21,-2.9517,1.01122,0.505121,-0.707832,-1.17455,0.338142,0,0,0.00193305,0.000289958,2.3125e-08,0,0.358024,0,0,0.00247692, 
0.094436,0.681169,-0.26315,0.22681,-0.0358227,0.0351122,0.998555,-0.0192546,0.600014,-0.45,0.199999,6.12323e-17,-4.56114e-05,1,2.79289e-21,-2.73465,0.996619,0.499944,-0.721612,-1.17009,0.363521,0,0,0.00206699,0.000310048,2.82835e-08,0,0.356031,0,0,0.00312587, 
0.100785,0.679708,-0.26556,0.227576,-0.0366975,0.0346919,0.998481,-0.022014,0.600016,-0.45,0.199999,6.12323e-17,-5.23537e-05,1,3.20574e-21,-2.70056,0.978435,0.497317,-0.735175,-1.21567,0.389792,0,0,0.00221403,0.000332105,3.47738e-08,0,0.354181,0,0,0.00239706, 
0.111851,0.678231,-0.26806,0.228377,-0.0375987,0.0342813,0.998398,-0.024713,0.600018,-0.45,0.199999,6.12323e-17,-5.96172e-05,1,3.6505e-21,-2.63082,1.01759,0.480334,-0.740665,-1.26074,0.405259,0,0,0.00236213,0.000354319,4.22471e-08,0,0.352532,0,0,0.00529585, 
0.122243,0.673004,-0.277312,0.231366,-0.0409929,0.0329237,0.998028,-0.03426,0.600022,-0.45,0.199999,6.12323e-17,-7.34005e-05,1,4.49448e-21,-2.69833,1.08119,0.446065,-0.754528,-1.36215,0.44773,0,0,0.00262003,0.000393004,5.76933e-08,0,0.348421,0,0,0.00488904, 
