time,x_current,y_current,z_current,qw_current,qx_current,qy_current,qz_current,x_desired,y_desired,z_desired,qw_desired,qx_desired,qy_desired,qz_desired,x_curr_transVel,y_curr_transVel,z_curr_transVel,x_curr_rotVel,y_curr_rotVel,z_curr_rotVel,x_des_transVel,y_des_transVel,z_des_transVel,x_des_rotVel,y_des_rotVel,z_des_rotVel,normError,controllerMode,timeKDLJacDot,timeDQJacDot, 
0.0017641,0.155838,-1.01564,0.254525,-0.059208,-0.0343618,0.99283,-0.0979885,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15045e-18,-0.0185517,-0.0123107,0.00333351,0.00421568,-0.0058382,0.000359155,-0,0,0,0,0,0,0.498945,2,5.5512e-05,0.000866445, 
0.00563479,0.155838,-1.01564,0.254525,-0.059208,-0.0343618,0.99283,-0.0979885,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15045e-18,-0.0185517,-0.0123107,0.00333351,0.00421568,-0.0058382,0.000359155,-5.59888e-21,0,4.57183e-05,1.74706e-05,5.40428e-06,2.13953e-21,0.498945,2,1.5269e-05,0.000785882, 
0.0107577,0.155538,-1.0151,0.253521,-0.0595241,-0.0347099,0.992933,-0.096619,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15046e-18,-0.0143044,0.0210531,0.0142195,-0.00485847,-0.00486488,0.000539147,-1.66515e-20,0,0.00013597,5.19587e-05,1.60727e-05,6.3631e-21,0.494914,2,1.4892e-05,0.000896533, 
0.0157258,0.155538,-1.0151,0.253521,-0.0595241,-0.0347099,0.992933,-0.096619,0.268209,-0.882134,0.15,6.05448e-17,-0.149439,0.988771,-9.15049e-18,-0.0143044,0.0210531,0.0142195,-0.00485847,-0.00486488,0.000539147,-3.15088e-20,0,0.000257289,9.8319e-05,3.04138e-05,1.20406e-20,0.494915,2,1.6566e-05,0.000823211, 
0.0206517,0.156437,-1.01496,0.253673,-0.0591029,-0.0352959,0.992942,-0.0965754,0.268209,-0.882134,0.15,6.05448e-17,-0.14944,0.988771,-9.15054e-18,0.0543766,-0.00314659,0.00778988,0.00594612,0.0126236,-0.0295633,-4.57458e-20,0,0.000373543,0.000142743,4.41562e-05,1.7481e-20,0.493557,2,2.2088e-05,0.000702713, 
0.0257181,0.156437,-1.01496,0.253673,-0.0591029,-0.0352959,0.992942,-0.0965754,0.26821,-0.882134,0.15,6.05447e-17,-0.149441,0.988771,-9.1506e-18,0.0543766,-0.00314659,0.00778988,0.00594612,0.0126236,-0.0295633,-5.99249e-20,0,0.000489324,0.000186987,5.7843e-05,2.28993e-20,0.493559,2,2.995e-05,0.000812644, 
0.0308066,0.157241,-1.01383,0.250858,-0.0584199,-0.0357321,0.993175,-0.0944029,0.268211,-0.882134,0.15,6.05447e-17,-0.149442,0.98877,-9.15068e-18,0.207689,-0.0752954,0.043184,0.055628,0.0521967,-0.0943565,-7.45025e-20,0,0.000608359,0.000232474,7.19148e-05,2.84699e-20,0.487606,2,2.1366e-05,0.000821631, 
0.0357175,0.157241,-1.01383,0.250858,-0.0584199,-0.0357321,0.993175,-0.0944029,0.268212,-0.882133,0.15,6.05447e-17,-0.149444,0.98877,-9.15079e-18,0.207689,-0.0752954,0.043184,0.055628,0.0521967,-0.0943565,-8.91561e-20,0,0.000728015,0.000278199,8.60604e-05,3.40695e-20,0.487609,2,1.9289e-05,0.000794986, 
0.0407781,0.157979,-1.01342,0.249158,-0.0592892,-0.0374202,0.99304,-0.0946347,0.268214,-0.882133,0.15,6.05447e-17,-0.149446,0.98877,-9.15091e-18,0.258189,-0.0266419,0.135503,0.0656569,0.0711791,-0.193788,-1.03401e-19,0,0.000844329,0.000322646,9.98114e-05,3.95127e-20,0.485708,2,2.0326e-05,0.000804334, 
0.0457882,0.157979,-1.01342,0.249158,-0.0592892,-0.0374202,0.99304,-0.0946347,0.268216,-0.882132,0.15,6.05447e-17,-0.149448,0.98877,-9.15104e-18,0.258189,-0.0266419,0.135503,0.0656569,0.0711791,-0.193788,-1.17914e-19,0,0.000962842,0.000367933,0.000113823,4.50588e-20,0.485712,2,1.9375e-05,0.000799206, 
0.050508,0.160561,-1.01152,0.245078,-0.0583694,-0.0389593,0.993185,-0.0930442,0.268218,-0.882132,0.15,6.05447e-17,-0.14945,0.988769,-9.1512e-18,0.12245,0.0534185,0.306311,0.143328,0.0934901,-0.248769,-1.32331e-19,0,0.00108056,0.000412917,0.000127741,5.05677e-20,0.479336,2,2.6653e-05,0.000619498, 
0.055582,0.160561,-1.01152,0.245078,-0.0583694,-0.0389593,0.993185,-0.0930442,0.26822,-0.882131,0.15,6.05446e-17,-0.149453,0.988769,-9.15136e-18,0.12245,0.0534185,0.306311,0.143328,0.0934901,-0.248769,-1.45745e-19,0,0.0011901,0.000454774,0.000140693,5.56938e-20,0.479341,2,1.882e-05,0.000677033, 
0.0604875,0.165055,-1.00908,0.241565,-0.0560929,-0.0414046,0.993416,-0.0909027,0.268222,-0.88213,0.15,6.05446e-17,-0.149456,0.988768,-9.15155e-18,0.281641,-0.147755,0.349538,0.295899,0.184724,-0.370064,-1.60313e-19,0,0.00130905,0.000500228,0.000154759,6.12603e-20,0.4692,2,1.5988e-05,0.000657693, 
0.0657084,0.165055,-1.00908,0.241565,-0.0560929,-0.0414046,0.993416,-0.0909027,0.268225,-0.882129,0.15,6.05446e-17,-0.149459,0.988768,-9.15175e-18,0.281641,-0.147755,0.349538,0.295899,0.184724,-0.370064,-1.74362e-19,0,0.00142378,0.000544067,0.000168325,6.66289e-20,0.469207,2,1.6028e-05,0.000799911, 
0.0707042,0.168761,-1.00373,0.238313,-0.054244,-0.0432838,0.994058,-0.0838596,0.268228,-0.882129,0.15,6.05445e-17,-0.149463,0.988767,-9.15199e-18,0.692673,-0.309453,0.398413,0.369829,0.321988,-0.358527,-1.89377e-19,0,0.00154638,0.000590916,0.000182825,7.23663e-20,0.446296,2,1.5037e-05,0.000797712, 
0.0757296,0.168761,-1.00373,0.238313,-0.054244,-0.0432838,0.994058,-0.0838596,0.268231,-0.882128,0.15,6.05445e-17,-0.149467,0.988767,-9.15223e-18,0.692673,-0.309453,0.398413,0.369829,0.321988,-0.358527,-2.03648e-19,0,0.00166291,0.000635445,0.000196607,7.78196e-20,0.446304,2,1.4538e-05,0.000794294, 
