time,x_current,y_current,z_current,qw_current,qx_current,qy_current,qz_current,x_desired,y_desired,z_desired,qw_desired,qx_desired,qy_desired,qz_desired,x_curr_transVel,y_curr_transVel,z_curr_transVel,x_curr_rotVel,y_curr_rotVel,z_curr_rotVel,x_des_transVel,y_des_transVel,z_des_transVel,x_des_rotVel,y_des_rotVel,z_des_rotVel,normError,controllerMode,timeKDLJacDot,timeDQJacDot, 
0.0440178,0.694539,-0.242471,0.222,-0.0281525,0.0383392,0.998849,0.00615726,0.600003,-0.45,0.2,6.12323e-17,-9.13445e-06,1,5.59324e-22,-1.32118,0.0496164,0.329637,-0.389313,-0.572991,0.0325705,0,0,0.000926512,0.000138977,2.53895e-09,0,0.384623,2,5.47e-05,0.00215381, 
0.0495841,0.693274,-0.244432,0.222197,-0.0282965,0.0378977,0.998873,0.00382627,0.600003,-0.45,0.2,6.12323e-17,-1.13936e-05,1,6.97655e-22,-1.64672,0.205292,0.344502,-0.438227,-0.693429,0.0823458,0,0,0.0010346,0.00015519,3.53633e-09,0,0.379537,2,5.7487e-05,0.00246112, 
0.0554503,0.691395,-0.247564,0.222678,-0.028711,0.0373029,0.998891,0.000105076,0.600004,-0.45,0.2,6.12323e-17,-1.44547e-05,1,8.85093e-22,-1.94555,0.31459,0.353768,-0.488916,-0.834402,0.143519,0,0,0.00116511,0.000174766,5.05238e-09,0,0.372557,2,5.9927e-05,0.0026731, 
0.06093,0.689326,-0.251231,0.223401,-0.0292778,0.0367151,0.998888,-0.00412758,0.600005,-0.45,0.2,6.12323e-17,-1.80736e-05,1,1.10669e-21,-2.17312,0.38836,0.353177,-0.534585,-0.964292,0.203806,0,0,0.00130257,0.000195385,7.06262e-09,0,0.365709,2,5.9692e-05,0.00252242, 
0.0664412,0.687097,-0.255342,0.224337,-0.0299609,0.036137,0.998858,-0.0088827,0.600007,-0.45,0.2,6.12323e-17,-2.18183e-05,1,1.33599e-21,-2.52332,0.468499,0.368367,-0.568541,-1.04975,0.245931,0,0,0.0014309,0.000214634,9.36592e-09,0,0.359307,2,6.2665e-05,0.00255123, 
0.072505,0.684762,-0.259693,0.225398,-0.0308037,0.0354907,0.998791,-0.0143878,0.600008,-0.45,0.199999,6.12323e-17,-2.59391e-05,1,1.58831e-21,-2.74017,0.549765,0.411641,-0.594471,-1.12078,0.28236,0,0,0.00155989,0.000233984,1.21386e-08,0,0.353646,2,6.0947e-05,0.00255819, 
0.0782336,0.681069,-0.266733,0.227323,-0.0322654,0.0344946,0.998636,-0.0222432,0.600009,-0.45,0.199999,6.12323e-17,-3.08835e-05,1,1.89107e-21,-2.56605,0.61799,0.39326,-0.632893,-1.23112,0.350179,0,0,0.00170174,0.00025526,1.57667e-08,0,0.346834,2,5.9455e-05,0.002615, 
0.0850607,0.67915,-0.270532,0.228414,-0.0330973,0.0340148,0.998527,-0.0262817,0.600011,-0.45,0.199999,6.12323e-17,-3.59497e-05,1,2.20128e-21,-2.74214,0.686826,0.395638,-0.642253,-1.27282,0.366577,0,0,0.00183566,0.000275349,1.97974e-08,0,0.344161,2,6.2516e-05,0.00286048, 
0.0910711,0.675922,-0.277056,0.230303,-0.0347099,0.0331841,0.998289,-0.0333616,0.600013,-0.45,0.199999,6.12323e-17,-4.2488e-05,1,2.60164e-21,-2.70411,0.78585,0.394743,-0.650247,-1.33885,0.390846,0,0,0.00199517,0.000299275,2.54312e-08,0,0.340917,2,4.507e-05,0.00264366, 
0.0983259,0.673963,-0.281202,0.231514,-0.0357733,0.0327221,0.998125,-0.0373413,0.600015,-0.45,0.199999,6.12323e-17,-4.86948e-05,1,2.98169e-21,-2.57349,0.825297,0.357218,-0.656318,-1.4027,0.410775,0,0,0.0021355,0.000320325,3.11963e-08,0,0.339348,2,6.7596e-05,0.00289605, 
0.104937,0.670699,-0.288363,0.233587,-0.0377558,0.0320319,0.997803,-0.0440098,0.600017,-0.45,0.199999,6.12323e-17,-5.67481e-05,1,3.47482e-21,-2.60725,0.937126,0.313843,-0.652412,-1.45291,0.418796,0,0,0.00230478,0.000345717,3.92375e-08,0,0.337631,2,6.0949e-05,0.00310954, 
0.111369,0.668089,-0.294246,0.235212,-0.039449,0.0315478,0.997506,-0.0492971,0.600019,-0.45,0.199999,6.12323e-17,-6.4622e-05,1,3.95695e-21,-2.50464,0.889922,0.281656,-0.664274,-1.49176,0.391983,0,0,0.00245893,0.00036884,4.76704e-08,0,0.336828,2,6.5654e-05,0.00294764, 
0.11622,0.665435,-0.30029,0.236753,-0.0410755,0.0311743,0.997201,-0.05413,0.600022,-0.45,0.199999,6.12323e-17,-7.2771e-05,1,4.45594e-21,-2.36177,0.91193,0.212942,-0.665765,-1.51781,0.376818,0,0,0.00260881,0.000391321,5.69537e-08,0,0.335931,2,5.7001e-05,0.00206542, 
