time,x_current,y_current,z_current,qw_current,qx_current,qy_current,qz_current,x_desired,y_desired,z_desired,qw_desired,qx_desired,qy_desired,qz_desired,x_curr_transVel,y_curr_transVel,z_curr_transVel,x_curr_rotVel,y_curr_rotVel,z_curr_rotVel,x_des_transVel,y_des_transVel,z_des_transVel,x_des_rotVel,y_des_rotVel,z_des_rotVel,normError,controllerMode,timeKDLJacDot,timeDQJacDot, 
0.00228055,0.155356,-1.01538,0.254486,-0.0593101,-0.0337162,0.992883,-0.097611,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15045e-18,-0.00195966,-0.00804713,-0.00992913,-0.00541566,0.00153507,-0.00269835,-0,0,0,0,0,0,0.49905,2,6.5826e-05,0.00121767, 
0.00544148,0.155356,-1.01538,0.254486,-0.0593101,-0.0337162,0.992883,-0.097611,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15045e-18,-0.00195966,-0.00804713,-0.00992913,-0.00541566,0.00153507,-0.00269835,-7.18478e-21,0,5.86682e-05,2.24192e-05,6.93506e-06,2.74555e-21,0.49905,2,2.2445e-05,0.000993104, 
0.0105022,0.156308,-1.01518,0.253895,-0.0590731,-0.0351097,0.992902,-0.0970679,0.268208,-0.882135,0.15,6.05448e-17,-0.149438,0.988771,-9.15046e-18,0.01164,-0.00201297,0.0210903,0.00612629,0.00112702,-0.00172416,-1.60479e-20,0,0.000131041,5.00754e-05,1.54902e-05,6.13247e-21,0.495157,2,2.2436e-05,0.000787301, 
0.0153605,0.156308,-1.01518,0.253895,-0.0590731,-0.0351097,0.992902,-0.0970679,0.268209,-0.882134,0.15,6.05448e-17,-0.149439,0.988771,-9.15049e-18,0.01164,-0.00201297,0.0210903,0.00612629,0.00112702,-0.00172416,-3.06618e-20,0,0.000250372,9.56758e-05,2.95961e-05,1.17169e-20,0.495158,2,1.9051e-05,0.00079599, 
0.0203683,0.156099,-1.01524,0.254575,-0.0589971,-0.0348761,0.992876,-0.0974597,0.268209,-0.882134,0.15,6.05448e-17,-0.14944,0.988771,-9.15053e-18,0.0174191,0.0104611,0.013129,-0.000324035,0.00577582,-0.00253093,-4.47056e-20,0,0.000365049,0.000139498,4.31522e-05,1.70836e-20,0.496247,2,1.9127e-05,0.000789025, 
0.0253509,0.156099,-1.01524,0.254575,-0.0589971,-0.0348761,0.992876,-0.0974597,0.26821,-0.882134,0.15,6.05447e-17,-0.149441,0.988771,-9.1506e-18,0.0174191,0.0104611,0.013129,-0.000324035,0.00577582,-0.00253093,-5.91146e-20,0,0.000482708,0.000184459,5.70609e-05,2.25897e-20,0.496249,2,1.8859e-05,0.000812043, 
0.0311918,0.157035,-1.01417,0.252197,-0.0586415,-0.0354937,0.993096,-0.0951914,0.268211,-0.882134,0.15,6.05447e-17,-0.149442,0.988771,-9.15068e-18,0.0768542,-0.0397474,0.0180825,0.0216459,0.0172136,-0.0395599,-7.34474e-20,0,0.000599744,0.000229182,7.08963e-05,2.80667e-20,0.489773,2,2.3172e-05,0.00131157, 
0.0358442,0.157035,-1.01417,0.252197,-0.0586415,-0.0354937,0.993096,-0.0951914,0.268213,-0.882133,0.15,6.05447e-17,-0.149444,0.98877,-9.1508e-18,0.0768542,-0.0397474,0.0180825,0.0216459,0.0172136,-0.0395599,-9.03738e-20,0,0.000737958,0.000281998,8.72359e-05,3.45348e-20,0.489776,2,2.5742e-05,0.00103231, 
0.040344,0.157868,-1.01361,0.250419,-0.0586956,-0.0365856,0.99307,-0.0950153,0.268214,-0.882133,0.15,6.05447e-17,-0.149446,0.98877,-9.15091e-18,0.314973,-0.0827964,0.101827,0.0744014,0.0798625,-0.184227,-1.0372e-19,0,0.000846935,0.000323642,0.00010012,3.96347e-20,0.487661,2,1.7483e-05,0.000835803, 
0.04523,0.157868,-1.01361,0.250419,-0.0586956,-0.0365856,0.99307,-0.0950153,0.268215,-0.882132,0.15,6.05447e-17,-0.149448,0.98877,-9.15103e-18,0.314973,-0.0827964,0.101827,0.0744014,0.0798625,-0.184227,-1.16519e-19,0,0.000951452,0.000363581,0.000112476,4.45258e-20,0.487665,2,1.4548e-05,0.000779455, 
