time,x_current,y_current,z_current,qw_current,qx_current,qy_current,qz_current,x_desired,y_desired,z_desired,qw_desired,qx_desired,qy_desired,qz_desired,x_curr_transVel,y_curr_transVel,z_curr_transVel,x_curr_rotVel,y_curr_rotVel,z_curr_rotVel,x_des_transVel,y_des_transVel,z_des_transVel,x_des_rotVel,y_des_rotVel,z_des_rotVel,normError,controllerMode,timeKDLJacDot,timeDQJacDot, 
0.031303,0.693046,-0.244949,0.222269,-0.0282133,0.0384072,0.998859,0.00306482,0.600001,-0.45,0.2,6.12323e-17,-4.4889e-06,1,2.74866e-22,-1.69473,0.245322,0.376902,-0.458821,-0.72676,0.0959156,0,0,0.000649756,9.74634e-05,8.75007e-10,0,0.379898,1,4.6419e-05,0.00150297, 
0.0354128,0.691591,-0.247345,0.22265,-0.0285713,0.0379169,0.998872,0.000255959,0.600002,-0.45,0.2,6.12323e-17,-5.76446e-06,1,3.52972e-22,-1.91253,0.333212,0.380733,-0.497719,-0.831403,0.142322,0,0,0.000736218,0.000110433,1.27317e-09,0,0.374549,1,4.4108e-05,0.00178749, 
0.03959,0.689483,-0.251003,0.22337,-0.029188,0.0372763,0.99887,-0.00392557,0.600002,-0.45,0.2,6.12323e-17,-7.37649e-06,1,4.5168e-22,-2.15666,0.420913,0.378354,-0.54538,-0.963507,0.203513,0,0,0.000832707,0.000124906,1.84274e-09,0,0.367568,1,4.2536e-05,0.00144312, 
0.0436168,0.687209,-0.255106,0.224306,-0.0299309,0.0366455,0.998842,-0.00863795,0.600003,-0.45,0.2,6.12323e-17,-9.21806e-06,1,5.64444e-22,-2.39611,0.48208,0.382197,-0.583313,-1.06386,0.254473,0,0,0.000930737,0.000139611,2.57388e-09,0,0.361018,1,7.974e-05,0.00150011, 
0.0475737,0.685409,-0.258449,0.225145,-0.0305475,0.0361808,0.998801,-0.012397,0.600003,-0.45,0.2,6.12323e-17,-1.11871e-05,1,6.85011e-22,-2.55954,0.528381,0.382891,-0.607159,-1.12964,0.288418,0,0,0.0010252,0.000153779,3.44069e-09,0,0.356557,1,3.7988e-05,0.00160532, 
0.0514402,0.682937,-0.263014,0.226362,-0.0314953,0.0355323,0.998714,-0.0177426,0.600004,-0.45,0.2,6.12323e-17,-1.33072e-05,1,8.14831e-22,-2.55702,0.59319,0.395553,-0.626234,-1.14974,0.318643,0,0,0.00111798,0.000167697,4.46316e-09,0,0.351487,1,4.4847e-05,0.00141722, 
0.0550327,0.681029,-0.266611,0.227379,-0.0322718,0.0350562,0.99863,-0.0215846,0.600005,-0.45,0.2,6.12323e-17,-1.55561e-05,1,9.52537e-22,-2.51001,0.629589,0.379086,-0.641987,-1.22214,0.34934,0,0,0.00120861,0.000181291,5.64037e-09,0,0.348257,1,3.3369e-05,0.00139071, 
0.0590683,0.679089,-0.270373,0.22846,-0.033122,0.0346001,0.998526,-0.0254974,0.600005,-0.45,0.2,6.12323e-17,-1.78027e-05,1,1.0901e-21,-2.65285,0.695774,0.375973,-0.648633,-1.25984,0.362926,0,0,0.00129278,0.000193918,6.90451e-09,0,0.345525,1,3.2541e-05,0.00151471, 
0.0631678,0.677139,-0.274205,0.229565,-0.034076,0.0341277,0.998395,-0.0296856,0.600006,-0.45,0.2,6.12323e-17,-2.05066e-05,1,1.25567e-21,-2.74545,0.761079,0.388257,-0.65295,-1.29235,0.374526,0,0,0.0013873,0.000208095,8.53466e-09,0,0.343389,1,5.0701e-05,0.00176231, 
0.0671509,0.675168,-0.278184,0.23073,-0.0350904,0.0336696,0.998249,-0.033673,0.600007,-0.45,0.2,6.12323e-17,-2.34486e-05,1,1.43582e-21,-2.57886,0.790927,0.361789,-0.66093,-1.34668,0.396735,0,0,0.00148328,0.000222492,1.04343e-08,0,0.341551,1,3.327e-05,0.00200292, 
0.0708377,0.671864,-0.285083,0.232757,-0.0369495,0.0329607,0.997958,-0.0403264,0.600008,-0.45,0.199999,6.12323e-17,-2.64955e-05,1,1.62238e-21,-2.64073,0.884552,0.340294,-0.662481,-1.39892,0.411568,0,0,0.0015765,0.000236474,1.2531e-08,0,0.339335,1,4.4549e-05,0.00138802, 
0.0746004,0.670537,-0.287938,0.233597,-0.0377414,0.0326982,0.99783,-0.0429133,0.600009,-0.45,0.199999,6.12323e-17,-2.94811e-05,1,1.8052e-21,-2.51478,0.897142,0.312266,-0.665597,-1.43599,0.423699,0,0,0.00166274,0.000249411,1.47059e-08,0,0.338641,1,4.5012e-05,0.00129272, 
0.0776548,0.66722,-0.295252,0.23572,-0.0398344,0.032128,0.997473,-0.0492725,0.60001,-0.45,0.199999,6.12323e-17,-3.2692e-05,1,2.00181e-21,-2.48141,0.91664,0.268042,-0.670181,-1.47759,0.41464,0,0,0.00175073,0.00026261,1.71705e-08,0,0.33741,1,3.3487e-05,0.00135291, 
0.0809173,0.665882,-0.298243,0.23656,-0.0406633,0.0319403,0.997326,-0.0516387,0.600011,-0.45,0.199999,6.12323e-17,-3.54203e-05,1,2.16887e-21,-2.28899,0.923331,0.222907,-0.671155,-1.50237,0.422635,0,0,0.00182213,0.00027332,1.93621e-08,0,0.336925,1,3.6941e-05,0.00136266, 
0.0848917,0.665882,-0.298243,0.23656,-0.0406633,0.0319403,0.997326,-0.0516387,0.600012,-0.45,0.199999,6.12323e-17,-3.84548e-05,1,2.35468e-21,-2.28899,0.923331,0.222907,-0.671155,-1.50237,0.422635,0,0,0.00189837,0.000284756,2.19005e-08,0,0.336931,1,3.452e-05,0.00176136, 
0.0883551,0.662543,-0.305812,0.238607,-0.0428097,0.0315806,0.99693,-0.0574471,0.600013,-0.45,0.199999,6.12323e-17,-4.23196e-05,1,2.59133e-21,-2.1766,0.875546,0.159553,-0.681267,-1.53554,0.39136,0,0,0.00199122,0.000298683,2.52803e-08,0,0.336104,1,3.3828e-05,0.00148692, 
0.0922299,0.662543,-0.305812,0.238607,-0.0428097,0.0315806,0.99693,-0.0574471,0.600014,-0.45,0.199999,6.12323e-17,-4.58378e-05,1,2.80675e-21,-2.1766,0.875546,0.159553,-0.681267,-1.53554,0.39136,0,0,0.0020721,0.000310815,2.84941e-08,0,0.336111,1,3.4139e-05,0.00184225, 
0.0962773,0.657129,-0.318308,0.241626,-0.0460967,0.031472,0.99629,-0.0655006,0.600015,-0.45,0.199999,6.12323e-17,-4.99399e-05,1,3.05794e-21,-1.80728,0.800113,-0.0100331,-0.69223,-1.58571,0.343201,0,0,0.00216255,0.000324382,3.23993e-08,0,0.334574,1,3.4275e-05,0.00193124, 
0.100935,0.654399,-0.324669,0.242975,-0.0476674,0.0316712,0.995972,-0.0690166,0.600016,-0.45,0.199999,6.12323e-17,-5.44118e-05,1,3.33176e-21,-1.73714,0.876452,-0.107948,-0.678737,-1.58441,0.331328,0,0,0.00225699,0.000338549,3.68421e-08,0,0.333785,1,4.7191e-05,0.00217091, 
0.105888,0.650954,-0.332691,0.244464,-0.0494941,0.0321694,0.995592,-0.0728772,0.600018,-0.45,0.199999,6.12323e-17,-5.97943e-05,1,3.66135e-21,-1.4123,0.718116,-0.232375,-0.69632,-1.6083,0.275476,0,0,0.00236562,0.000354843,4.24352e-08,0,0.332615,1,4.7215e-05,0.00245827, 
0.111211,0.64889,-0.337523,0.245273,-0.0505624,0.032627,0.995378,-0.074841,0.60002,-0.45,0.199999,6.12323e-17,-6.57964e-05,1,4.02887e-21,-1.24973,0.748461,-0.327859,-0.687143,-1.60978,0.266606,0,0,0.0024811,0.000372165,4.89743e-08,0,0.331888,1,4.8737e-05,0.00266612, 
0.115437,0.646121,-0.343954,0.246196,-0.0518699,0.0334193,0.995113,-0.0770867,0.600022,-0.45,0.199999,6.12323e-17,-7.2564e-05,1,4.44326e-21,-1.04916,0.618774,-0.428918,-0.699104,-1.60441,0.209276,0,0,0.00260511,0.000390766,5.67111e-08,0,0.330796,1,3.5392e-05,0.00238721, 
0.118715,0.642637,-0.351956,0.247168,-0.0533087,0.0347169,0.994816,-0.0793321,0.600023,-0.45,0.199998,6.12323e-17,-7.81725e-05,1,4.78668e-21,-0.828294,0.51377,-0.572486,-0.701946,-1.59025,0.17302,0,0,0.00270353,0.000405529,6.34025e-08,0,0.329318,1,3.3975e-05,0.00162808, 
0.122317,0.641241,-0.355124,0.247498,-0.053823,0.0353331,0.994706,-0.0800863,0.600025,-0.45,0.199998,6.12323e-17,-8.26667e-05,1,5.06188e-21,-0.756141,0.484623,-0.630922,-0.700605,-1.57881,0.158534,0,0,0.00277985,0.000416978,6.89404e-08,0,0.328748,1,4.7322e-05,0.00127148, 
0.127042,0.637079,-0.364471,0.24835,-0.0552523,0.0375193,0.994397,-0.0819272,0.600026,-0.45,0.199998,6.12323e-17,-8.77493e-05,1,5.3731e-21,-0.564858,0.379471,-0.800721,-0.697174,-1.53864,0.119868,0,0,0.00286369,0.000429553,7.5386e-08,0,0.327363,1,4.7003e-05,0.00203853, 
0.131522,0.634313,-0.370518,0.248735,-0.0560071,0.0392385,0.99421,-0.0828773,0.600028,-0.45,0.199998,6.12323e-17,-9.46438e-05,1,5.79526e-21,-0.483727,0.30509,-0.898786,-0.690198,-1.49049,0.0823886,0,0,0.00297359,0.000446038,8.44295e-08,0,0.326633,1,4.8677e-05,0.00234452, 
0.135802,0.632264,-0.374912,0.248928,-0.0565071,0.0406478,0.994075,-0.0834789,0.60003,-0.45,0.199998,6.12323e-17,-0.000101422,1,6.21028e-21,-0.426576,0.26173,-0.963636,-0.681769,-1.44866,0.0556042,0,0,0.00307776,0.000461664,9.36454e-08,0,0.326281,1,4.2646e-05,0.00208119, 
0.140191,0.628921,-0.381928,0.249085,-0.0572397,0.0431882,0.993858,-0.0842844,0.600032,-0.45,0.199998,6.12323e-17,-0.000108114,1,6.62009e-21,-0.334943,0.20203,-1.05408,-0.662508,-1.36991,0.0157519,0,0,0.00317723,0.000476584,1.03051e-07,0,0.326079,1,3.7763e-05,0.00189261, 
0.145286,0.625686,-0.388536,0.249064,-0.0578643,0.0459208,0.993652,-0.0848359,0.600035,-0.45,0.199998,6.12323e-17,-0.000115198,1,7.05385e-21,-0.238262,0.15076,-1.12428,-0.638935,-1.28705,-0.0165441,0,0,0.00327918,0.000491877,1.13327e-07,0,0.326339,1,3.4233e-05,0.00230687, 
0.14956,0.622573,-0.394727,0.248891,-0.0583917,0.0487962,0.99346,-0.0851183,0.600037,-0.45,0.199998,6.12323e-17,-0.000123703,1,7.57459e-21,-0.132768,0.103001,-1.17667,-0.613518,-1.20347,-0.0458818,0,0,0.00339749,0.000509623,1.26083e-07,0,0.327004,1,3.6819e-05,0.00195876, 
0.155071,0.620179,-0.399377,0.248663,-0.0587471,0.0511695,0.993318,-0.085144,0.600039,-0.45,0.199997,6.12323e-17,-0.00013107,1,8.02574e-21,-0.0476263,0.0666785,-1.20622,-0.591263,-1.1364,-0.0625844,0,0,0.0034967,0.000524505,1.37494e-07,0,0.327787,1,4.2742e-05,0.00219327, 
0.160355,0.617315,-0.404816,0.248302,-0.0591089,0.0541933,0.993154,-0.0849275,0.600042,-0.45,0.199997,6.12323e-17,-0.00014088,1,8.62644e-21,0.0591734,0.0219805,-1.2296,-0.562106,-1.05369,-0.0774647,0,0,0.00362453,0.000543679,1.53187e-07,0,0.329041,1,3.5634e-05,0.00244962, 
0.164963,0.61513,-0.408871,0.247966,-0.0593318,0.0566366,0.993037,-0.084554,0.600045,-0.45,0.199997,6.12323e-17,-0.000150619,1,9.22275e-21,0.146711,-0.0135747,-1.23896,-0.538064,-0.988394,-0.0871226,0,0,0.00374704,0.000562056,1.69313e-07,0,0.330234,1,3.574e-05,0.00194238, 
0.168889,0.612035,-0.41447,0.247401,-0.0595536,0.0603046,0.992883,-0.0836567,0.600048,-0.45,0.199997,6.12323e-17,-0.000159375,1,9.75891e-21,0.278875,-0.0668711,-1.2389,-0.501235,-0.892617,-0.0982863,0,0,0.00385382,0.000578073,1.84261e-07,0,0.332253,1,3.3907e-05,0.0018511, 
0.172456,0.610567,-0.417065,0.2471,-0.0596044,0.0621298,0.99282,-0.0830349,0.60005,-0.45,0.199997,6.12323e-17,-0.000167029,1,1.02276e-20,0.388431,-0.114401,-1.23917,-0.485934,-0.853731,-0.0997442,0,0,0.00394476,0.000591713,1.97667e-07,0,0.33333,1,3.3714e-05,0.00153294, 
0.176194,0.608663,-0.420389,0.246709,-0.0595362,0.0645832,0.992765,-0.0818576,0.600052,-0.45,0.199997,6.12323e-17,-0.000174139,1,1.06629e-20,0.53518,-0.188286,-1.25546,-0.468474,-0.811443,-0.0975456,0,0,0.00402735,0.000604103,2.10396e-07,0,0.334635,1,3.479e-05,0.00184846, 
0.179689,0.608201,-0.421187,0.246611,-0.0595085,0.0651989,0.992753,-0.081542,0.600055,-0.45,0.199996,6.12323e-17,-0.000181745,1,1.11287e-20,0.546725,-0.195845,-1.25671,-0.462604,-0.797749,-0.0979324,0,0,0.00411385,0.000617078,2.24302e-07,0,0.335004,1,3.761e-05,0.00158489, 
0.184781,0.608201,-0.421187,0.246611,-0.0595085,0.0651989,0.992753,-0.081542,0.600057,-0.45,0.199996,6.12323e-17,-0.000189006,1,1.15733e-20,0.546725,-0.195845,-1.25671,-0.462604,-0.797749,-0.0979324,0,0,0.00419473,0.000629209,2.37849e-07,0,0.33502,1,4.6103e-05,0.00249609, 
0.191179,0.604686,-0.427264,0.245849,-0.0591353,0.0701125,0.992649,-0.078951,0.60006,-0.45,0.199996,6.12323e-17,-0.000199837,1,1.22365e-20,0.683225,-0.304703,-1.26103,-0.426676,-0.732077,-0.0902699,0,0,0.0043125,0.000646874,2.58538e-07,0,0.338215,1,0.00012559,0.00247167, 
0.197307,0.602255,-0.43138,0.2453,-0.0586183,0.0738383,0.992598,-0.0765536,0.600064,-0.45,0.199996,6.12323e-17,-0.000213867,1,1.30956e-20,0.71956,-0.338509,-1.26876,-0.390171,-0.652523,-0.0920223,0,0,0.00446036,0.000669054,2.86178e-07,0,0.340969,1,4.8758e-05,0.00269702, 
0.202992,0.600391,-0.434464,0.244836,-0.0580972,0.0769449,0.992556,-0.0744006,0.600068,-0.45,0.199995,6.12323e-17,-0.000227752,1,1.39458e-20,0.839505,-0.407508,-1.27541,-0.365749,-0.601698,-0.0901619,0,0,0.00460192,0.000690288,3.14429e-07,0,0.343684,1,0.000130082,0.00241994, 
0.206701,0.598612,-0.437376,0.244406,-0.0573462,0.0801277,0.992543,-0.0717491,0.600072,-0.45,0.199995,6.12323e-17,-0.000241019,1,1.47581e-20,0.968978,-0.491852,-1.31866,-0.345909,-0.561625,-0.085213,0,0,0.00473315,0.000709972,3.42233e-07,0,0.346521,1,3.4393e-05,0.0014291, 
0.21072,0.596976,-0.440009,0.243972,-0.0565558,0.0833771,0.992506,-0.069138,0.600075,-0.45,0.199995,6.12323e-17,-0.000249875,1,1.53004e-20,0.91205,-0.48886,-1.33221,-0.31502,-0.502445,-0.0878103,0,0,0.00481872,0.000722808,3.61224e-07,0,0.350079,1,3.4467e-05,0.00194071, 
0.214508,0.596365,-0.440976,0.243793,-0.0562403,0.0846822,0.992483,-0.0681284,0.600078,-0.45,0.199995,6.12323e-17,-0.000259651,1,1.58991e-20,0.894291,-0.48565,-1.33227,-0.30199,-0.476579,-0.0898643,0,0,0.00491141,0.000736712,3.82576e-07,0,0.351719,1,4.749e-05,0.00159948, 
0.218266,0.5955,-0.442329,0.243515,-0.0557726,0.0866352,0.992441,-0.0666538,0.600081,-0.45,0.199995,6.12323e-17,-0.000269037,1,1.64738e-20,0.859516,-0.477425,-1.32571,-0.282201,-0.439074,-0.0932833,0,0,0.00499876,0.000749813,4.03455e-07,0,0.354359,1,3.3349e-05,0.00175917, 
0.223337,0.5955,-0.442329,0.243515,-0.0557726,0.0866352,0.992441,-0.0666538,0.600084,-0.45,0.199994,6.12323e-17,-0.000278512,1,1.70539e-20,0.859516,-0.477425,-1.32571,-0.282201,-0.439074,-0.0932833,0,0,0.00508537,0.000762806,4.24901e-07,0,0.354384,1,3.8163e-05,0.00226063, 
0.227669,0.593024,-0.446069,0.242521,-0.0542352,0.0929938,0.992253,-0.0620031,0.600087,-0.45,0.199994,6.12323e-17,-0.000291552,1,1.78524e-20,0.797553,-0.464425,-1.26466,-0.220673,-0.323904,-0.103121,0,0,0.00520217,0.000780326,4.55012e-07,0,0.364338,1,3.7342e-05,0.00211445, 
